address,name,arguments,return,exceptional_convention,direct_control_sites,confidence
0x5FC22,random_seeded,"uint16 upper_bound, uint16 *seed","D0.l = value in [0, upper_bound); 0 when upper_bound is 0",normal-stack dormant veneer; no discovered direct control site,,Verified
0x5FC26,random_bound_stack_core,uint16 upper_bound on inherited caller stack; A0 = uint16 *seed,"D0.l = value in [0, upper_bound); 0 when upper_bound is 0",mixed inherited-stack/register shared entry reached by getrandom,0x5FC54,Verified
0x5FC2C,random_core,D0.l = zero-extended upper_bound; A0 = uint16 *seed,"D0.l = value in [0, upper_bound); 0 when upper_bound is 0",register shared body; updates *seed with seed = seed * 0x3619 + 0x5D35 modulo 2^16,0x5FC4C,Verified
0x5FC46,random_word,D0.l = zero-extended upper_bound,"D0.l = value in [0, upper_bound); 0 when upper_bound is 0",register wrapper using global random_seed; branches to random_core,0x40576;0x4108E;0x4123C;0x5E4B0;0x5E958;0x5ED46;0x5F248,Verified
0x5FC4E,getrandom,uint16 upper_bound,"D0.l = value in [0, upper_bound); 0 when upper_bound is 0",normal-stack wrapper using global random_seed; branches to random_bound_stack_core,0x42EAA;0x42EF4;0x436D4;0x43768;0x438F2;0x439BE;0x43B08;0x43BB6;0x43BE2;0x43E2E;0x43F06;0x44E10;0x44E74;0x44EA2;0x46154;0x4655C;0x46AF6;0x4839C;0x483CE;0x483E0;0x48816;0x4885A;0x49304;0x49316;0x49AC8;0x49B18;0x4AFF8;0x4B564;0x4B5EC;0x4B96E;0x4B97C;0x4BA98;0x4BAB6;0x4BE7E;0x4BF50;0x4BF92;0x4C0C4;0x4C12E;0x4E48C;0x4E53C;0x4E5CA;0x4E60A;0x4E964;0x4F826;0x4F834;0x506DE;0x50F42;0x51696;0x51C82;0x51D48;0x51D6A;0x523F6;0x524D0;0x5251A;0x525AA;0x52680;0x5419E;0x543EE;0x54524;0x54590,Verified
0x5FCCE,pf_palette_clear,void,void,tail-calls memclear_core for the final 0x40-longword shadow-color clear,0x44468;0x48536,Verified
0x5FD14,display_state_clear,void,void,tail-calls memclear_core for the final 0x800-longword playfield clear,0x430B4;0x44474,Verified
0x5FD58,memclear,"uint16 count, uint32 *destination",void,normal-stack wrapper; pre-tested DBRA loop clears exactly count longwords and does nothing for zero,0x44AEA;0x44AFA;0x44B0A,Verified
0x5FD64,memclear_core,"D0.w = count, A0 = uint32 *destination",void,register pre-test entry; clears exactly count longwords and does nothing for zero,0x5FCE6;0x5FCF4;0x5FD02;0x5FD10;0x5FD1E;0x5FD4A;0x5FD56;0x5FD60,Verified
0x5FD6A,copy_longwords,"uint16 count, const uint32 *source, uint32 *destination",void,normal-stack pre-tested DBRA loop copies exactly count longwords and does nothing for zero,0x48D80,Verified
0x5FD80,palette_fade_copy,"uint16 count, const uint16 *source, uint16 *destination, uint16 delta",void,normal-stack pre-tested DBRA loop copies exactly count words; preserves D2,0x4354C;0x43566;0x436B8,Verified
0x5FDB8,supersorc_place_helper,"uint16 target_mob_slot, uint16 starting_player_index",D0.w = packed destination tile; 0 when no placement is possible,normal-stack wrapper; loads D2=2*target_mob_slot and fixed A2/A3/A4 MOB-array bases,0x527B4,Verified
0x5FDE0,supersorc_place,D0.w = starting player index; D2.w = target MOB byte offset; A2/A3/A4 = picture/hpos/vpos bases,D0.w = packed destination tile; 0 when no placement is possible,register body; tries four players cyclically and three behind-player direction biases,0x41094;0x5FDD8,Verified
