address,flag_name,size_bytes,confidence,classification,consumers,access,sample_sites,review
0x4002A,game.startup_hook2_slot,6,Verified,direct,os_selftest_loop,a;r?,os_selftest_loop@0x01448#a,
0x40036,game.startup_hook1_slot,6,Verified,direct,os_selftest_loop,a;r?,os_selftest_loop@0x01430#a,
0x4003C,game.startup_hook3_slot,6,Verified,direct,os_selftest_loop,a;r?,os_selftest_loop@0x01460#a,
0x40042,game.vblank_hook_slot,6,Verified,direct,read_debounced_input,a;r?,read_debounced_input@0x0116A#a,
0x4004E,game.post_attract_hook_slot,6,Verified,direct,os_selftest_loop,a;r?,os_selftest_loop@0x012FE#a,
0x4005A,game.header_ff_pad_4005a,6,Verified,unreferenced,-,-,-,
0x40060,game.mob_fill_value,2,Verified,direct,display_init_clear,rw,display_init_clear@0x01664#rw,
0x40062,game.pf_fill_value,2,Verified,direct,os_selftest_loop,rw,os_selftest_loop@0x0154C#rw,
0x40064,game.reserved_header_40064,9,Verified,unreferenced,-,-,-,
0x4006D,game.eeprom_start,1,Verified,direct,eeprom_init;write_game_config,rb,eeprom_init@0x045A4#rb;write_game_config@0x03E6E#rb,
0x4006E,game.reserved_header_4006e,1,Verified,unreferenced,-,-,-,
0x4006F,game.difficulty_byte,1,Verified,direct,eeprom_clear_difficulty_rows;eeprom_decode_block_to;eeprom_init;read_eeprom_setting;read_game_config;record_player_session_histogram;run_statistics_histograms;run_statistics_summary,rb,eeprom_clear_difficulty_rows@0x047BA#rb;eeprom_decode_block_to@0x04756#rb;eeprom_init@0x04514#rb;eeprom_init@0x045B2#rb,
0x40070,game.screen_mode,2,Verified,direct,one_time_init;run_game_options,rw,one_time_init@0x432E2#rw;run_game_options@0x05906#rw,
0x40072,game.rom_type_flag,1,Verified,direct,display_next_screen_prompt;display_next_test_prompt;draw_game_settings_bits;init_alpha_display;render_option_record;render_option_record_page;run_coin_options;run_game_options;run_game_settings_bit_editor;run_option_descriptor_editor;run_statistics_histograms;run_statistics_summary;run_switch_test,rb,display_next_screen_prompt@0x04BE8#rb;display_next_test_prompt@0x02276#rb;draw_game_settings_bits@0x053B0#rb;draw_game_settings_bits@0x053C0#rb,
0x40073,game.reserved_header_40073,1,Verified,direct,run_sound_test,rb,run_sound_test@0x0253E#rb;run_sound_test@0x0275E#rb,
0x40074,game.button0_label_ptr,4,Verified,direct,display_next_screen_prompt;run_game_settings_bit_editor;run_option_descriptor_editor;run_statistics_histograms;run_statistics_summary;selftest_load_control_labels,rl,display_next_screen_prompt@0x04C0E#rl;run_game_settings_bit_editor@0x05298#rl;run_option_descriptor_editor@0x054D6#rl;run_statistics_histograms@0x04F22#rl,
0x40078,game.button1_label_ptr,4,Verified,direct,run_game_settings_bit_editor;run_option_descriptor_editor;run_statistics_histograms;run_statistics_summary;selftest_load_control_labels,rl,run_game_settings_bit_editor@0x05286#rl;run_option_descriptor_editor@0x054B0#rl;run_statistics_histograms@0x04EE2#rl;run_statistics_summary@0x0519A#rl,
0x4007C,game.joystick_label_ptr,4,Verified,direct,selftest_load_control_labels,rl,selftest_load_control_labels@0x01254#rl,
0x40080,game.checksum_table,24,Verified,direct,main_init_cont,a;rl,main_init_cont@0x0082C#a,
0x40098,game.header_zero_pad_40098,4,Verified,unreferenced,-,-,-,
0x4009C,game.copyright_morse_signature,9,Verified,unreferenced,-,-,-,
0x400A5,game.header_ff_pad,57,Verified,unreferenced,-,-,-,
0x400FC,game.unreferenced_ram_value_pair,6,Verified,indirect,player_give_item_with_message,-,ptr:powerup_bit_masks,
0x40102,game.joystick_label,17,Verified,indirect,selftest_load_control_labels,-,ptr:game.joystick_label_ptr,
0x40113,game.fire_label,22,Verified,indirect,run_game_settings_bit_editor;run_option_descriptor_editor;run_statistics_histograms;run_statistics_summary;selftest_load_control_labels,-,ptr:game.button1_label_ptr,
0x40129,game.magic_label,23,Verified,indirect,display_next_screen_prompt;run_game_settings_bit_editor;run_option_descriptor_editor;run_statistics_histograms;run_statistics_summary;selftest_load_control_labels,-,ptr:game.button0_label_ptr,
0x405C0,forcefield_color_steps,8,Verified,direct,main_cycle_tport_and_ffield,a,main_cycle_tport_and_ffield@0x405A8#a,
0x405C8,palette_offset_by_floorpattern,16,Verified,direct,maze_setupnew,a;rb,maze_setupnew@0x44BBE#a,
0x405D8,palette_offset2_by_floorpattern,16,Verified,direct,maze_setupnew,a;rb,maze_setupnew@0x44BDA#a,
0x405E8,vscroll_alpha_gradient,64,Verified,direct,game_vblank,a,game_vblank@0x4031A#a,
0x40B58,mob_collision_type_filter,64,Verified,direct,shot_collision_candidate_core,a;rb,shot_collision_candidate_core@0x40B4A#a,
0x40B98,shot_collision_width,24,Verified,direct,shot_mob_collision,?;a;rw,shot_mob_collision@0x40914#a,
0x40BB0,shot_collision_height,24,Verified,resolved,shot_mob_collision,?;rw,shot_mob_collision@0x40930#rw;shot_mob_collision@0x4095A#?,
0x40BC8,dragon_shot_collision_width,8,Verified,direct,shot_mob_collision,a;rw,shot_mob_collision@0x40A5C#a,
0x40BD0,dragon_shot_collision_height,8,Verified,resolved,shot_mob_collision,rw,shot_mob_collision@0x40A66#rw,
0x40BD8,shot_collision_probe_offsets,160,Verified,direct,game_vblank;shot_mob_collision,a,game_vblank@0x40382#a;shot_mob_collision@0x409D4#a,
