literal_address,linear_sites,callable_examples,covering_flags,status,confidence
0x904000,0x43710;0x43916;0x43AE4;0x43F80;0x43FC0;0x4420E;0x44462;0x44E1E;0x44E2E;0x44E36;0x44EB8;0x45228,attract_highscores@0x4A134;level_splash@0x4BE5C;level_splash@0x4C058;level_splash@0x4C10C;load_legend_page@0x4CD2A;main_handle_potions@0x47052,ram.os_flag,exact_union_match,Verified
0x904002,0x401AC;0x401BE;0x42A6E;0x430DA;0x430E0;0x434B0;0x434B6;0x439EE;0x43C58;0x49C1E;0x49CA4;0x53652,eeprom_load_config@0x430DA;eeprom_load_config@0x430E0;forcefield_segments_setup@0x53652;g2mainloop@0x42A6E;game_vblank@0x401AC;game_vblank@0x401BE,ram.vblank_semaphore,exact_union_match,Verified
0x904004,0x401B2;0x40F82;0x4374C;0x43786;0x437E4;0x438E4;0x4394E;0x43AF0;0x43F96;0x441A8;0x4426C;0x4445A,game_vblank@0x401B2;level_splash@0x4BE38;level_splash@0x4BE52;level_splash@0x4BFAE;level_splash@0x4C0A4;main_attract@0x44924,ram.os_vblank_occurred,exact_union_match,Verified
0x904006,0x40304;0x40328;0x403C4;0x4059C;0x40EAA;0x42A86;0x44524;0x457DE;0x4670C;0x475BC;0x4A838;0x4A8CC,g2mainloop@0x42A86;game_vblank@0x40304;game_vblank@0x40328;game_vblank@0x403C4;main_cycle_tport_and_ffield@0x4059C;main_handle_shots@0x475BC,ram.pf_vscroll_hi,exact_union_match,Verified
0x904007,0x4580C;0x478CE,main_handle_shots@0x478CE;main_score_display@0x4580C,ram.pf_vscroll_hi,exact_union_match,Verified
0x904008,0x401A2;0x46CB2;0x46FA6;0x46FBC;0x49052;0x4A166;0x4CB96;0x4CBE0;0x4CDC6;0x4CFE8;0x5053A;0x5E596,attract_highscores@0x4A166;dialog_position_box@0x4CB96;dialog_position_box@0x4CBE0;display_state_clear@0x5FD28;draw_legend_monsters_page@0x4CDC6;draw_legend_rules_page@0x4CFE8,ram.pf_hscroll,exact_union_match,Verified
0x90400A,0x4018E;0x46CB8;0x46FB6;0x46FD4;0x49042;0x4A16E;0x4CBB2;0x4CBF4;0x4CDCE;0x4CFF0;0x4DE16;0x4DE32,attract_highscores@0x4A16E;dialog_position_box@0x4CBB2;dialog_position_box@0x4CBF4;display_state_clear@0x5FD22;draw_legend_monsters_page@0x4CDCE;draw_legend_rules_page@0x4CFF0,ram.pf_vscroll_lo,exact_union_match,Verified
0x90400C,0x40196;0x4328E,game_vblank@0x40196;one_time_init@0x4328E,ram.timer_countdown,exact_union_match,Verified
0x90400E,0x4302A;0x43224;0x52DFE;0x52E24;0x52E30,eeprom_load_config@0x4302A;eeprom_periodic_write@0x43224;player_exit_sequence@0x52DFE;player_exit_sequence@0x52E24;player_exit_sequence@0x52E30,ram.sound_data_recv,exact_union_match,Verified
0x90400F,0x431AA,eeprom_write@0x431AA,ram.sound_data_recv,exact_union_match,Verified
0x904010,0x42F94;0x43212;0x46A0E;0x52EDE,eeprom_load_config@0x42F94;eeprom_periodic_write@0x43212;main_health_countdown@0x46A0E;maze_checknum@0x52EDE,ram.sound_data_flag,exact_union_match,Verified
0x904011,0x431A0,eeprom_write@0x431A0,ram.sound_data_flag,exact_union_match,Verified
0x904012,0x43086;0x430FC;0x4317E;0x431F2;0x46A98;0x52F10,eeprom_load_config@0x43086;eeprom_load_config@0x430FC;eeprom_load_config@0x4317E;eeprom_periodic_write@0x431F2;main_health_countdown@0x46A98;maze_checknum@0x52F10,ram.sound_test_status_value,exact_union_match,Verified
0x904016,0x43066;0x43248;0x44ECA;0x44F08;0x44F14,eeprom_load_config@0x43066;eeprom_periodic_write@0x43248;show_level_start_screen@0x44ECA;show_level_start_screen@0x44F08;show_level_start_screen@0x44F14,ram.treas_mazerand_adder,exact_union_match,Verified
0x904017,0x431BE,eeprom_write@0x431BE,ram.treas_mazerand_adder,exact_union_match,Verified
0x904018,0x43038;0x4303E;0x4304A;0x43054;0x43236;0x44EB2;0x44ED2;0x44ED8;0x44EE6;0x44EF6;0x44EFC,eeprom_load_config@0x43038;eeprom_load_config@0x4303E;eeprom_load_config@0x4304A;eeprom_load_config@0x43054;eeprom_periodic_write@0x43236;show_level_start_screen@0x44EB2,ram.treas_mazerand_num,exact_union_match,Verified
0x904019,0x431B4,eeprom_write@0x431B4,ram.treas_mazerand_num,exact_union_match,Verified
0x90401A,0x52FA0;0x5E648,main_walls_cyclic_move@0x5E648;maze_forcefield_setup@0x52FA0,ram.wallcycle_time,exact_union_match,Verified
0x90401C,0x52F96;0x5E69A;0x5E6AC,main_walls_cyclic_move@0x5E69A;main_walls_cyclic_move@0x5E6AC;maze_forcefield_setup@0x52F96,ram.wallcycle_type,exact_union_match,Verified
0x90401E,0x401D4;0x40E9A;0x42A8E;0x435B6;0x43694;0x47094;0x4BA7A;0x5FCD0,g2mainloop@0x42A8E;game_vblank@0x401D4;init_display@0x435B6;init_display@0x43694;main_handle_potions@0x47094;monsters_everything@0x40E9A,ram.playfield_colorsave1,exact_union_match,Verified
0x904020,0x40EA0;0x42A8E;0x435B0;0x4369A;0x5FCD6,g2mainloop@0x42A8E;init_display@0x435B0;init_display@0x4369A;monsters_everything@0x40EA0;pf_palette_clear@0x5FCD6,ram.playfield_colorsave2,exact_union_match,Verified
0x904022,0x41588;0x41734;0x4707E;0x4BA88,main_handle_potions@0x4707E;monsters_everything@0x41588;monsters_everything@0x41734,ram.potion_player,exact_union_match,Verified
0x904024,0x407C6;0x4080E;0x40AD0;0x40AF6;0x40B20;0x42116;0x42282;0x4234E;0x4248E;0x42666;0x426AA;0x4AF04,dragon_shot_hitbox_adjust@0x54BA0;dragon_shot_hitbox_adjust@0x54BC6;mob_probe_candidate@0x407C6;mob_probe_candidate@0x4080E;player_try_move_core@0x42116;player_try_move_core@0x42282,ram.collision_dist_H,exact_union_match,Verified
0x904026,0x407DE;0x4082E;0x40AF0;0x41CDA;0x41E46;0x41F0E;0x4204E;0x4267C;0x426C8;0x4AEC2;0x4EF32;0x4F0A8,dragon_shot_hitbox_adjust@0x54BBC;mob_probe_candidate@0x407DE;mob_probe_candidate@0x4082E;player_try_move_core@0x41CDA;player_try_move_core@0x41E46;player_try_move_core@0x41F0E,ram.collision_dist_V,exact_union_match,Verified
0x904028,0x407B6;0x407FE;0x40AC0;0x40B10;0x42656;0x4269A;0x4AED6;0x4AEF8,mob_probe_candidate@0x407B6;mob_probe_candidate@0x407FE;probe_down@0x42656;probe_down@0x4269A;shot_collision_candidate_core@0x40AC0;shot_collision_candidate_core@0x40B10,ram.shothit_dist_H,exact_union_match,Verified
