address,name,arguments,return,exceptional_convention,direct_control_sites,confidence
0x40000,game_start_veneer,void,does not return,six-byte OS hook; tail-jumps to game_start,,Verified
0x40006,game_vblank_veneer,interrupt frame only,no value; target exits with RTE,six-byte OS IRQ hook; tail-jumps to game_vblank,,Verified
0x4000C,game_irq1_watchdog_trap,interrupt frame only,does not return,six-byte self-JMP trap; unexpected IRQ1 stops watchdog service,0x4000C,Verified
0x40012,game_irq3_watchdog_trap,interrupt frame only,does not return,six-byte self-JMP trap; unexpected IRQ3 stops watchdog service,0x40012,Verified
0x40018,game_irq2_watchdog_trap,interrupt frame only,does not return,six-byte self-JMP trap; unexpected IRQ2 stops watchdog service,0x40018,Verified
0x4001E,game_irq6_sound_veneer,interrupt frame only,no value; exits with RTE,tail-jumps through OS API 0x17E to the sound receive interrupt body,,Verified
0x40024,game_exception_veneer,D0.w = exception action (OS supplies zero),does not return,six-byte OS exception hook; tail-jumps to game_exception_abort,,Verified
0x40030,game_playfield_init_veneer,void,void,six-byte OS hook; tail-jumps to game_playfield_init,,Verified
0x40048,game_options_veneer,void,void,six-byte OS game-options hook; tail-jumps to game_options_display,,Verified
0x40054,game_rom_verify_veneer,void,D0.l = packed ROM/Slapstic verification result,six-byte OS game-ROM verification hook; tail-jumps to slapstic_verify,,Verified
0x400DE,scroll_to_slot_veneer,uint16 packed_slot,void,six-byte tail veneer to scroll_to_slot; preserves the target's normal stack ABI,,Verified
0x400E4,init_display_veneer,"uint16 main_palette_index, uint16 special_palette_variant",void,six-byte tail veneer to init_display; preserves the target's normal stack ABI,,Verified
0x400EA,maze_setup_veneer,const uint8_t *maze_record,void,six-byte tail veneer to maze_setupnew; preserves the target's normal stack ABI,,Verified
0x400F0,pf_replace_veneer,"uint16 packed_maze_slot, uint16 new_object_type",void,six-byte tail veneer to pf_replace; preserves the target's normal stack ABI,,Verified
0x400F6,mob_clear_veneer,uint16 mob_slot,void,six-byte tail veneer to moblist_remove_and_clear; preserves the target's normal stack ABI,,Verified
0x40140,game_exception_abort,D0.w = exception action (OS supplies zero),does not return,register-controlled exception entry: zero jumps to the watchdog-abort address; nonzero falls through to game_start,0x40024,Verified
0x4014C,game_start,void,does not return,"OS reset entry through JMP veneer 0x40000; initializes palette/profile pointers, sets SR=0x2300, and tail-jumps to g2mainloop",0x40000,Verified
0x4017E,game_vblank,interrupt frame only,no value; exits with RTE,68010 interrupt entry through veneer 0x40006; saves/restores D0-D1/A0-A2; may take the watchdog-abort path or jump through the reset vector instead of returning,0x40006,Verified
0x404A0,palette_power_warrior,"D0.w = cycle byte offset, A1 = source palette, A2 = destination palette",void,frameless pointer-table leaf; preserves registers,,Verified
0x404AE,palette_hurt_warrior,"D0.w = cycle byte offset, A1 = source palette, A2 = destination palette",void,frameless pointer-table leaf; preserves registers,,Verified
0x404BC,palette_power_valkyrie,"D0.w = cycle byte offset, A1 = source palette, A2 = destination palette",void,frameless pointer-table leaf; preserves registers,,Verified
0x404D0,palette_hurt_valkyrie,"D0.w = cycle byte offset, A1 = source palette, A2 = destination palette",void,frameless pointer-table leaf; preserves registers,,Verified
0x404E4,palette_power_wizard,"D0.w = cycle byte offset, A1 = source palette, A2 = destination palette",void,frameless pointer-table leaf; preserves registers,,Verified
0x404F8,palette_hurt_wizard,"D0.w = cycle byte offset, A1 = source palette, A2 = destination palette",void,frameless pointer-table leaf; preserves registers,,Verified
0x4050C,palette_power_elf,"D0.w = cycle byte offset, A1 = source palette, A2 = destination palette",void,frameless pointer-table leaf; preserves registers,,Verified
0x4051A,palette_hurt_elf,"D0.w = cycle byte offset, A1 = source palette, A2 = destination palette",void,frameless pointer-table leaf; preserves registers,,Verified
0x42A66,g2mainloop,void,does not return,one-time init followed by infinite VBLANK-semaphore dispatch loop,0x40178,Verified
0x42DC8,sound_system_reset,void,void,"normal stack; calls OS reset_sound_cpu(0,0), installs 180-frame grace, clears state/retries, and resets queue",0x43288,Verified
0x4ADAE,sound_queue_reset,void,void,frameless leaf; fills all eight slots with 0xFF and zeroes byte head/tail indices,0x42DEA,Verified
0x4ADD6,enqueue_sound,uint8 sound_id,void,normal-stack leaf; capacity is seven entries and a full queue silently drops the new byte,0x4ADA2,Verified
0x4D12E,alpha_clear_rect,"uint16 column, uint16 width, uint16 row, uint16 height",void,"normal stack; exact dimensions in alpha words/rows, 64-word (0x80-byte) row stride; zero width or height writes nothing",0x4CE0E,Verified
0x5317C,game_options_display,void,void,OS game-options hook; passes the ROM descriptor stream to run_game_options (API 0x248),0x40048,Verified
