address,name,purpose,arguments,return,exceptional_convention,confidence
0x432E,eeprom_process,Advance the VBLANK counter and process at most one verification/write step or one queued asynchronous read,void,void,normal stack ABI; serializes EEPROM writes through unlock register 0x803150,Verified
0x44E8,eeprom_init,"Validate the game hook, allocate the difficulty-sized configuration image on the caller stack, load/check/correct redundant EEPROM blocks, and queue repairs",void,"D0.l = 0 initialized, 1 invalid game-hook header, or -1 on terminal initialization/error-state exit","nonstandard persistent stack allocation: removes the return address, reserves the configuration image, then restores the return address below it",Verified
0x4674,eeprom_decode_block,Select a ten-byte destination from A2/D3 and decode one thirty-byte redundant EEPROM block with syndrome correction,A2 = configuration image; A3 = EEPROM base; D2 = physical block; D3 = destination record,"D0.l = 0 clean, positive for a correctable syndrome, negative for uncorrectable syndrome; D2 and D3 increment",register-only internal entry; falls into 0x467C shared decoder,Verified
0x467C,eeprom_decode_block_to,Decode one thirty-byte redundant EEPROM block into an explicitly supplied ten-byte destination,A1 = destination; A2 = configuration image/error counter context; A3 = EEPROM base; D2 = physical block; D3 = record counter,"D0.l = 0 clean, positive for a correctable syndrome, negative for uncorrectable syndrome; D2 and D3 increment",register-only shared entry used by synchronous reads,Verified
0x4770,eeprom_clear_statistics,Clear the 200-byte high-score/statistics area and queue EEPROM regions 4-11,A2 = configuration image,void,register-only initialization helper; tail-enters shared request-bitmap update,Verified
0x4784,eeprom_clear_configuration,"Clear configuration bytes 0-9, 16-18, and 20-29 and queue EEPROM regions 0-2",A2 = configuration image,void,register-only initialization helper; tail-enters shared request-bitmap update,Verified
0x47A8,eeprom_request_write,Queue one logical EEPROM region by setting its request-bitmap bit,region index long,D0.l = supplied region index,normal stack veneer over 0x47AC register entry,Verified
0x47AC,eeprom_request_write_register,Queue one logical EEPROM region already selected in D0,D0.l = region index,D0.l = supplied region index,register-only shared entry,Verified
0x47B8,eeprom_clear_difficulty_rows,Clear all allocated difficulty histogram rows and queue their logical EEPROM regions,A2 = configuration image,void,"register-only initialization helper; returns immediately when difficulty is zero, otherwise tail-enters shared request-bitmap update",Verified
0x4802,eeprom_check_busy,"Test the write bitmap, asynchronous-read ring, and active byte-write pointer",void,"D0.l = 1 when any EEPROM work is pending, 0 when idle",normal stack ABI,Verified
0x4822,eeprom_read_block,Read and verify a logical EEPROM block synchronously or enqueue an asynchronous read,"destination pointer; logical block index word; mode long (zero synchronous, nonzero queued)","D0.l = 1 success/queued, 0 invalid/busy/full; synchronous decode also returns -1 correctable syndrome or -2 uncorrectable syndrome",normal mixed-width three-slot stack ABI,Verified
