address,name,purpose,arguments,return,exceptional_convention,confidence
0x35C4,process_coins,"Decode two packed four-channel coin-counter samples, apply the configured multiplier/bonus, and update per-player coin totals and pending credits",previous packed 2-bit counter sample; current packed 2-bit counter sample,void,normal two-slot stack ABI; only each slot's low byte is consumed,Verified
0x3706,get_coin_multiplier,Validate the complementary coin-configuration bytes and derive the current coin multiplier,void,"D0.l = multiplier 1-4, or 0 for free play/invalid high setting",normal stack ABI,Verified
0x3740,calc_health_per_coin,Fold pending credit units into one player's bounded coin accumulator and convert it to health units,player index long,"D0.l = 12 * accumulated coin units / multiplier, or 24 in free play",normal stack ABI; mutates the selected pending and accumulated coin bytes,Verified
0x37C2,check_and_deduct_coin,Check whether one player has at least twelve health units of credit and deduct one multiplier group,player index long,"D0.l = 1 on success/free play, 0 when insufficient",normal stack ABI,Verified
0x3804,check_and_deduct_credits,Check a player's pending-plus-accumulated credit units and consume the requested amount,required credit units long; player index long,"D0.l = 1 on success/free play, 0 when insufficient",normal stack ABI; consumes pending units before accumulated units,Verified
0x3860,read_eeprom_setting,Read one difficulty-row histogram byte when that row is available,difficulty threshold/row long; bin index long,"D0.l = byte value, -1 when bin index exceeds 19, or -2 when current difficulty is not above the requested row",normal stack ABI,Verified
0x38C0,read_game_config,Decode one packed game-configuration item through the descriptor table,configuration index long,D0.l = decoded value; index 13 returns the signed game difficulty byte; indexes above 13 return -1,normal stack ABI,Verified
0x39B0,read_high_score_entry,Expand one five-byte EEPROM high-score record into the shared score/ASCII work buffer,character class word; rank word,"D0.l = pointer to seven-byte expanded entry, or 0 when rank exceeds 9",normal stack ABI; character class is expected to be 0-3 and is not bounds-checked,Verified
0x3A7E,write_high_score_entry,Encode and insert one expanded score/initials record into a class table and queue affected EEPROM regions,character class word; rank word; expanded-entry pointer,"D0.l = 0 success, -1 when rank exceeds 9, or -2 when score exceeds 24 bits",normal stack ABI; character class is expected to be 0-3 and is not bounds-checked,Verified
0x3BE8,update_active_player_time_stats,"Accumulate elapsed VBLANKs for active players, periodically fold hours into configuration counters, and update the active mask",active-player bit mask long,D0.l = pointer to the first per-player elapsed-VBLANK counter at 0x904F50,normal stack ABI; queues EEPROM regions when hour counters change,Verified
0x3CF6,write_eeprom_setting,Apply the public setting-write policy and delegate packed configuration storage,configuration index long; value long,D0.l = -1 for index above 13; otherwise the delegated writer's observable result,normal stack ABI; indexes below 11 are forcibly written as zero,Verified
0x3D18,write_game_config,Pack one configuration value according to the descriptor table and queue affected EEPROM regions,configuration index long; value long,D0.l = -1 for index above 13; a changed ordinary value returns queued region 0 or 1; unchanged-value paths leave an incidental work value,normal stack ABI; index 13 clears difficulty rows and queues their regions,Verified
0x3F68,rank_high_score,Compare a 24-bit score against one class's ten EEPROM records,character class word; score long,"D0.l = rank 0-9, 10 when score does not rank, or -1 when score exceeds 24 bits",normal stack ABI; character class is expected to be 0-3 and is not bounds-checked,Verified
0x401A,activate_player_time_tracking,Add one player to the active-time mask and immediately account elapsed VBLANKs,player index long,D0.l = pointer to the first per-player elapsed-VBLANK counter at 0x904F50,normal stack ABI; tail result is propagated from 0x3BE8,Verified
0x4038,record_player_session_histogram,"Remove a player from active-time tracking, normalize the elapsed session by coin count/difficulty, and increment the corresponding EEPROM histogram bin",player index word in a long slot; coin-count/divisor word in a long slot,void,normal two-slot stack ABI; divisor is capped at 128 and is expected nonzero,Verified
