address,size_bytes,catalog_name,matching_flags,status,confidence
0x4009C,9,game_copyright_morse_signature,game.copyright_morse_signature,exact_match,Verified
0x405C0,8,"Forcefield color table (4 words, one per animation step)",forcefield_color_steps,exact_match,Verified
0x405C8,16,palette_offset_by_floorpattern,palette_offset_by_floorpattern,exact_match,Verified
0x405D8,16,palette_offset2_by_floorpattern,palette_offset2_by_floorpattern,exact_match,Verified
0x405E8,64,vscroll_alpha_gradient,vscroll_alpha_gradient,exact_match,Verified
0x40B58,64,mob_collision_type_filter,mob_collision_type_filter,exact_match,Verified
0x40B98,24,shot_collision_width,shot_collision_width,exact_match,Verified
0x40BB0,24,shot_collision_height,shot_collision_height,exact_match,Verified
0x40BC8,8,dragon_shot_collision_width,dragon_shot_collision_width,exact_match,Verified
0x40BD0,8,dragon_shot_collision_height,dragon_shot_collision_height,exact_match,Verified
0x40BD8,160,shot_collision_probe_offsets,shot_collision_probe_offsets,exact_match,Verified
0x40D78,18,monster_kill_score_by_multiplier,monster_kill_score_by_multiplier,exact_match,Verified
0x40D8A,40,monster_shoot_axis_thresholds,monster_shoot_axis_thresholds,exact_match,Verified
0x40DB2,40,monster_anim_idle_ptrs,monster_anim_idle_ptrs,exact_match,Verified
0x40DDA,40,monster_anim_moving_ptrs,monster_anim_moving_ptrs,exact_match,Verified
0x40E1E,40,monster_oddangle_table,monster_oddangle_table,exact_match,Verified
0x40E66,4,monster_spawn_probability_bonus_bytes,monster_spawn_probability_bonus_bytes,exact_match,Verified
0x41BD0,32,player_character_collision_block_matrix,player_character_collision_block_matrix,exact_match,Verified
0x40E02,28,monster_level_flag_overrides,monster_level_flag_overrides,exact_match,Verified
0x40E46,32,monster_spawn_probability_table,monster_spawn_probability_table,exact_match,Verified
0x4A4FA,64,stun_direction_remap,stun_direction_remap,exact_match,Verified
0x58070,32,invisibility_flash_masks,invisibility_flash_masks,exact_match,Verified
0x580A8,16,player_speed_normal,player_speed_normal,exact_match,Verified
0x580B8,16,player_anim_rate,player_anim_rate,exact_match,Verified
0x580C8,16,lobber_lead_distance,lobber_lead_distance,exact_match,Verified
0x580D8,18,player_delta_x,player_delta_x,exact_match,Verified
0x580EA,18,player_delta_y,player_delta_y,exact_match,Verified
0x580FC,32,joystick_nibble_to_direction,joystick_nibble_to_direction,exact_match,Verified
0x5850E,125,attract_display_run_ctrl,attract_display_run_ctrl,exact_match,Verified
0x5858B,1,pad_5858b,pad_5858b,exact_match,Verified
0x5858C,128,mazeobj_hpos_correction_tbl,mazeobj_hpos_correction_tbl,exact_match,Verified
0x5860C,64,mazeobj_vpos_offset_tbl,mazeobj_vpos_offset_tbl,exact_match,Verified
0x5864C,64,mazeobj_hsize_tier_tbl,mazeobj_hsize_tier_tbl,exact_match,Verified
