start,end_inclusive,size_bytes,classification,rom_flags,catalog_rows,confidence
0x40000,0x40029,42,analyzed_code,,,Verified
0x4002A,0x4002F,6,named_rom_range,game.startup_hook2_slot,,Verified
0x40030,0x40035,6,analyzed_code,,,Verified
0x40036,0x4003B,6,named_rom_range,game.startup_hook1_slot,,Verified
0x4003C,0x40041,6,named_rom_range,game.startup_hook3_slot,,Verified
0x40042,0x40047,6,named_rom_range,game.vblank_hook_slot,,Verified
0x40048,0x4004D,6,analyzed_code,,,Verified
0x4004E,0x40053,6,named_rom_range,game.post_attract_hook_slot,,Verified
0x40054,0x40059,6,analyzed_code,,,Verified
0x4005A,0x4005F,6,named_rom_range,game.header_ff_pad_4005a,,Verified
0x40060,0x40061,2,named_rom_range,game.mob_fill_value,,Verified
0x40062,0x40063,2,named_rom_range,game.pf_fill_value,,Verified
0x40064,0x4006C,9,named_rom_range,game.reserved_header_40064,,Verified
0x4006D,0x4006D,1,named_rom_range,game.eeprom_start,,Verified
0x4006E,0x4006E,1,named_rom_range,game.reserved_header_4006e,,Verified
0x4006F,0x4006F,1,named_rom_range,game.difficulty_byte,,Verified
0x40070,0x40071,2,named_rom_range,game.screen_mode,,Verified
0x40072,0x40072,1,named_rom_range,game.rom_type_flag,,Verified
0x40073,0x40073,1,named_rom_range,game.reserved_header_40073,,Verified
0x40074,0x40077,4,named_rom_range,game.button0_label_ptr,,Verified
0x40078,0x4007B,4,named_rom_range,game.button1_label_ptr,,Verified
0x4007C,0x4007F,4,named_rom_range,game.joystick_label_ptr,,Verified
0x40080,0x40097,24,named_rom_range,game.checksum_table,,Verified
0x40098,0x4009B,4,named_rom_range,game.header_zero_pad_40098,,Verified
0x4009C,0x400A4,9,named_rom_range,game.copyright_morse_signature,game_copyright_morse_signature,Verified
0x400A5,0x400DD,57,named_rom_range,game.header_ff_pad,,Verified
0x400DE,0x400FB,30,analyzed_code,,,Verified
0x400FC,0x40101,6,named_rom_range,game.unreferenced_ram_value_pair,,Verified
0x40102,0x40112,17,named_rom_range,game.joystick_label,,Verified
0x40113,0x40128,22,named_rom_range,game.fire_label,,Verified
0x40129,0x4013F,23,named_rom_range,game.magic_label,,Verified
0x40140,0x405BF,1152,analyzed_code,,,Verified
0x405C0,0x405C7,8,named_rom_range,forcefield_color_steps,"Forcefield color table (4 words, one per animation step)",Verified
0x405C8,0x405D7,16,named_rom_range,palette_offset_by_walltype,palette_offset_by_walltype,Verified
0x405D8,0x405E7,16,named_rom_range,palette_offset2_by_walltype,palette_offset2_by_walltype,Verified
0x405E8,0x40627,64,named_rom_range,vscroll_alpha_gradient,vscroll_alpha_gradient,Verified
0x40628,0x40B57,1328,analyzed_code,,,Verified
0x40B58,0x40B97,64,named_rom_range,mob_collision_type_filter,mob_collision_type_filter,Verified
0x40B98,0x40BAF,24,named_rom_range,shot_collision_width,shot_collision_width,Verified
0x40BB0,0x40BC7,24,named_rom_range,shot_collision_height,shot_collision_height,Verified
0x40BC8,0x40BCF,8,named_rom_range,dragon_shot_collision_width,dragon_shot_collision_width,Verified
0x40BD0,0x40BD7,8,named_rom_range,dragon_shot_collision_height,dragon_shot_collision_height,Verified
0x40BD8,0x40C77,160,named_rom_range,shot_collision_probe_offsets,shot_collision_probe_offsets,Verified
0x40C78,0x40D77,256,analyzed_code,,,Verified
0x40D78,0x40D89,18,named_rom_range,monster_kill_score_by_multiplier,monster_kill_score_by_multiplier,Verified
0x40D8A,0x40DB1,40,named_rom_range,monster_shoot_axis_thresholds,monster_shoot_axis_thresholds,Verified
