address,size_bytes,flag_name,matching_catalog_rows,matching_header_rows,status,confidence
0x4002A,6,game.startup_hook2_slot,,game_startup_hook2_slot,exact_header_match,Verified
0x40036,6,game.startup_hook1_slot,,game_startup_hook1_slot,exact_header_match,Verified
0x4003C,6,game.startup_hook3_slot,,game_startup_hook3_slot,exact_header_match,Verified
0x40042,6,game.vblank_hook_slot,,game_vblank_hook_slot,exact_header_match,Verified
0x4004E,6,game.post_attract_hook_slot,,game_post_attract_hook_slot,exact_header_match,Verified
0x4005A,6,game.header_ff_pad_4005a,,game_header_ff_pad_4005a,exact_header_match,Verified
0x40060,2,game.mob_fill_value,,game_mob_fill_value,exact_header_match,Verified
0x40062,2,game.pf_fill_value,,game_pf_fill_value,exact_header_match,Verified
0x40064,9,game.reserved_header_40064,,game_reserved_header_40064,exact_header_match,Verified
0x4006D,1,game.eeprom_start,,game_eeprom_start,exact_header_match,Verified
0x4006E,1,game.reserved_header_4006e,,game_reserved_header_4006e,exact_header_match,Verified
0x4006F,1,game.difficulty_byte,,game_difficulty,exact_header_match,Verified
0x40070,2,game.screen_mode,,game_default_settings,exact_header_match,Verified
0x40072,1,game.rom_type_flag,,game_rom_type,exact_header_match,Verified
0x40073,1,game.reserved_header_40073,,game_reserved_header_40073,exact_header_match,Verified
0x40074,4,game.button0_label_ptr,,game_button0_label_ptr,exact_header_match,Verified
0x40078,4,game.button1_label_ptr,,game_button1_label_ptr,exact_header_match,Verified
0x4007C,4,game.joystick_label_ptr,,game_joystick_label_ptr,exact_header_match,Verified
0x40080,24,game.checksum_table,,game_checksum_tbl,exact_header_match,Verified
0x40098,16,game.unreferenced_header_words,,game_unreferenced_header_words,exact_header_match,Verified
0x400A8,54,game.header_ff_pad,,game_header_ff_pad,exact_header_match,Verified
0x400FC,6,game.unreferenced_ram_value_pair,,game_unreferenced_ram_value_pair,exact_header_match,Verified
0x40102,17,game.joystick_label,,game_joystick_label,exact_header_match,Verified
0x40113,22,game.fire_label,,game_fire_label,exact_header_match,Verified
0x40129,23,game.magic_label,,game_magic_label,exact_header_match,Verified
0x405C0,8,forcefield_color_steps,"Forcefield color table (4 words, one per animation step)",,exact_catalog_match,Verified
0x405C8,16,palette_offset_by_walltype,palette_offset_by_walltype,,exact_catalog_match,Verified
0x405D8,16,palette_offset2_by_walltype,palette_offset2_by_walltype,,exact_catalog_match,Verified
0x405E8,64,vscroll_alpha_gradient,vscroll_alpha_gradient,,exact_catalog_match,Verified
0x40B58,64,mob_collision_type_filter,mob_collision_type_filter,,exact_catalog_match,Verified
0x40B98,24,shot_collision_width,shot_collision_width,,exact_catalog_match,Verified
0x40BB0,24,shot_collision_height,shot_collision_height,,exact_catalog_match,Verified
0x40BC8,8,dragon_shot_collision_width,dragon_shot_collision_width,,exact_catalog_match,Verified
0x40BD0,8,dragon_shot_collision_height,dragon_shot_collision_height,,exact_catalog_match,Verified
0x40BD8,160,shot_collision_probe_offsets,shot_collision_probe_offsets,,exact_catalog_match,Verified
0x40D78,18,monster_kill_score_by_multiplier,monster_kill_score_by_multiplier,,exact_catalog_match,Verified
0x40D8A,40,monster_shoot_axis_thresholds,monster_shoot_axis_thresholds,,exact_catalog_match,Verified
0x40DB2,40,monster_anim_idle_ptrs,monster_anim_idle_ptrs,,exact_catalog_match,Verified
0x40DDA,40,monster_anim_moving_ptrs,monster_anim_moving_ptrs,,exact_catalog_match,Verified
0x40E02,28,monster_level_flag_overrides,monster_level_flag_overrides,,exact_catalog_match,Verified
0x40E1E,40,monster_oddangle_table,monster_oddangle_table,,exact_catalog_match,Verified
0x40E46,32,monster_count_table,monster_count_table,,exact_catalog_match,Verified
0x40E66,4,dead_monster_count_tail_words,dead_monster_count_tail_words,,exact_catalog_match,Verified
0x41BD0,32,player_character_collision_block_matrix,player_character_collision_block_matrix,,exact_catalog_match,Verified
0x45C46,8,door_open_direction_jumptbl,main_open_doors,,exact_catalog_match,Verified
0x49620,20,monster_playerhit_jumptbl,"Contradicted and corrected: target/monster class 0x12–0x1B is doubled without subtraction; the backward-biased load base 0x495FC maps it to the actual table at 0x49620–0x49633, also the JMP displacement base. The former 28-entry/0–0x1B description included live instructions before the table.",,exact_catalog_match,Verified
0x4A4FA,64,stun_direction_remap,stun_direction_remap,,exact_catalog_match,Verified
0x4B338,124,resolve_shot_hit_jumptbl,"Object type 0–0x3D, doubled; displacement relative to base 0x4B338",,exact_catalog_match,Verified
0x4FE08,16,richest_player_tie_jumptbl,"Eight tie/eligibility states, doubled; displacement and JMP base 0x4FE08",,exact_catalog_match,Verified
0x51200,16,player_tile_lowtype_jumptbl,"Object type 0x0A–0x11 is doubled without subtraction; load base is biased to 0x511EC, making the accessed table 0x51200–0x5120F; JMP base 0x51200",,exact_catalog_match,Verified
0x5122A,34,player_tile_object_jumptbl,"Object type 0x2E–0x3E, doubled without subtraction; load base 0x511CE biases accesses to 0x5122A–0x5124B; JMP base 0x5122A",,exact_catalog_match,Verified
0x52210,94,mob_collision_object_jumptbl,"Object type 0x10–0x3E, doubled without subtraction; load base 0x521FC biases accesses to 0x52210–0x5226D; JMP base 0x52210",,exact_catalog_match,Verified
0x5226E,12,dead_mob_collision_jump_tail,"Six additional valid-looking displacements immediately after the live table. The dispatcher rejects types above 0x3E before indexing, and no other consumer reaches them; retained as runtime-dead compiler/linker residue.",,exact_catalog_match,Verified
0x5318C,442,game_options_descriptor_stream,game_options_descriptor_stream,,exact_catalog_match,Verified
0x538FE,10,shot_reflect_center_jumptbl,Signed delta −2…2 indexes around a centered load base 0x53902; JMP base 0x538FE,,exact_catalog_match,Verified
0x53924,10,shot_reflect_neg42_jumptbl,Delta −0x42…−0x3E is normalized by subtracting −0x42; JMP base 0x53924,,exact_catalog_match,Verified
0x53948,10,shot_reflect_neg22_jumptbl,Delta −0x22…−0x1E is not normalized; backward-biased load base 0x5398C maps it to 0x53948–0x53951; JMP base 0x53948,,exact_catalog_match,Verified
0x5396A,10,shot_reflect_pos1e_jumptbl,Delta 0x1E…0x22 is not normalized; backward-biased load base 0x5392E maps it to 0x5396A–0x53973; JMP base 0x5396A,,exact_catalog_match,Verified
0x53992,10,shot_reflect_pos3e_jumptbl,Delta 0x3E…0x42 is normalized by subtracting 0x3E; JMP base 0x53992,,exact_catalog_match,Verified
0x54BD6,10,dragon_head_hitbox_offsets,dragon_head_hitbox_offsets,,exact_catalog_match,Verified
0x54CA6,32,secret_code_alphabet,secret_code_alphabet,,exact_catalog_match,Verified
0x54CC6,512,secret_code_crc16_table,secret_code_crc16_table,,exact_catalog_match,Verified
0x55512,60,dead_name_entry_epilogue_fragments,dead_name_entry_epilogue_fragments,,exact_catalog_match,Verified
0x56F5C,76,dead_slapstic_verify_suffix,dead_slapstic_verify_suffix,,exact_catalog_match,Verified
0x56FA8,90,pad_56fa8,pad_56fa8,,exact_catalog_match,Verified
0x57002,16,character_announcement_speech_ptrs,Per-player character announcement speech IDs (ROM pointer table),,exact_catalog_match,Verified
0x57012,52,random_maze_flags,get_random_maze_flags,,exact_catalog_match,Verified
0x57046,8,slapstic_bitwise_addr_a,slapstic_bitwise_addr_a,,exact_catalog_match,Verified
0x5704E,8,slapstic_bitwise_addr_b,slapstic_bitwise_addr_b,,exact_catalog_match,Verified
0x57056,28,challenge_target_object_types,challenge_target_object_types,,exact_catalog_match,Verified
0x57072,66,character_select_instruction_chain,character_select_instruction_chain,,exact_catalog_match,Verified
0x570B4,8,portrait_display_offsets,portrait_display_offsets,,exact_catalog_match,Verified
0x570BC,8,portrait_alpha_words,portrait_alpha_words,,exact_catalog_match,Verified
0x570C4,8,portrait_sprite_words,portrait_sprite_words,,exact_catalog_match,Verified
0x570CC,16,portrait_alpha_dest_ptrs,portrait_alpha_dest_ptrs,,exact_catalog_match,Verified
0x570DC,16,portrait_sprite_dest_ptrs,portrait_sprite_dest_ptrs,,exact_catalog_match,Verified
0x570EC,32,joystick_direction_bitmasks,joystick_direction_bitmasks,,exact_catalog_match,Verified
0x5710C,108,floor_palette_color_indices,floor_palette_color_indices,,exact_catalog_match,Verified
0x57178,96,service_instruction_text_chain,service_instruction_text_chain,,exact_catalog_match,Verified
0x571D8,2,forcefield_delay_alignment,forcefield_delay_alignment,,exact_catalog_match,Verified
0x571DA,32,forcefield_cycle_delay_profiles,forcefield_cycle_delay_profiles,,exact_catalog_match,Verified
0x571FA,16,forcefield_cycle_delay_ptrs,forcefield_cycle_delay_ptrs,,exact_catalog_match,Verified
0x5720A,8,secret_player_palette_words,secret_player_palette_words,,exact_catalog_match,Verified
