address,name,legacy_loader,evidence,analysis_size,terminators,confidence
0x0300,exception_handler,yes,legacy_loader;project_loader;vector_10;vector_11;vector_12;vector_13;vector_14;vector_15;vector_16;vector_17;vector_18;vector_19;vector_2;vector_20;vector_21;vector_22;vector_23;vector_24;vector_29;vector_3;vector_31;vector_32;vector_33;vector_34;vector_35;vector_36;vector_37;vector_38;vector_39;vector_4;vector_40;vector_41;vector_42;vector_43;vector_44;vector_45;vector_46;vector_47;vector_48;vector_49;vector_5;vector_50;vector_51;vector_52;vector_53;vector_54;vector_55;vector_56;vector_57;vector_58;vector_59;vector_6;vector_60;vector_61;vector_62;vector_63;vector_7;vector_8;vector_9,20,jmp;rte,Verified
0x0314,irq1_handler,yes,legacy_loader;project_loader;vector_25,18,jmp;rte,Verified
0x0326,irq2_handler,yes,legacy_loader;project_loader;vector_26,18,jmp;rte,Verified
0x0338,irq3_handler,yes,legacy_loader;project_loader;vector_27,18,jmp;rte,Verified
0x034A,irq4_vblank_handler,yes,legacy_loader;project_loader;vector_28,34,jmp;rte,Verified
0x036C,irq6_handler,yes,legacy_loader;project_loader;vector_30,52,jmp;rte,Verified
0x03A0,normal_boot,yes,legacy_loader;project_loader;tail_jump@0x0618,22,,Verified
0x03B6,normal_boot_spare_test_done,no,continuation@0x03AC;project_loader,36,,Verified
0x03C4,normal_boot_spare_error_ack,no,continuation@0x03BA;project_loader,96,,Verified
0x0424,normal_boot_color_test_done,no,continuation@0x041A;project_loader,150,,Verified
0x04A4,normal_boot_playfield_test_done,no,continuation@0x049A;project_loader,140,,Verified
0x0512,normal_boot_alpha_test_done,no,continuation@0x0508;project_loader,134,,Verified
0x0582,normal_boot_mob_test_done,no,continuation@0x0578;project_loader,118,jmp,Verified
0x05E2,reset_entry,yes,legacy_loader;project_loader;vector_1,60,jmp,Verified
0x061E,selftest_boot,yes,legacy_loader;project_loader,52,,Verified
0x0652,selftest_spare_test_done,no,continuation@0x0648;project_loader,14,,Verified
0x0660,selftest_spare_error_ack,no,project_loader,28,,Verified
0x067C,selftest_color_test_done,no,continuation@0x0672;project_loader,42,,Verified
0x06A6,selftest_playfield_test_done,no,continuation@0x069C;project_loader,42,,Verified
0x06D0,selftest_alpha_test_done,no,continuation@0x06C6;project_loader,44,,Verified
0x06FC,selftest_mob_test_done,no,continuation@0x06F2;project_loader,726,jmp,Verified
0x070C,main_init_cont,yes,legacy_loader;project_loader;tail_jump@0x05DC,710,jmp,Verified
0x08EC,boot_postcheck_dispatch,no,project_loader;tail_jump@0x0E58,574,jmp,Verified
0x0A2C,mem_test_short,yes,legacy_loader;project_loader,40,jmp,Verified
0x0A42,mem_test_short_walk_ones,no,indirect_call_target@0x0A38;project_loader,82,jmp,Verified
0x0A52,mem_test_short_walk_zeroes,no,indirect_call_target@0x0A48;project_loader,80,jmp,Verified
0x0A62,mem_test_short_done,no,indirect_call_target@0x0A58;project_loader,8,jmp,Verified
0x0A6A,mem_test_full,yes,legacy_loader;project_loader,34,jmp,Verified
0x0A7A,mem_test_full_walk_ones_highbit,no,indirect_call_target@0x0A70;project_loader,76,jmp,Verified
0x0A84,mem_test_full_walk_zeroes_highbit,no,indirect_call_target@0x0A7A;project_loader,74,jmp,Verified
0x0A8E,mem_test_full_walk_ones_lowbit,no,indirect_call_target@0x0A84;project_loader,76,jmp,Verified
0x0A98,mem_test_full_walk_zeroes_lowbit,no,indirect_call_target@0x0A8E;project_loader,74,jmp,Verified
0x0AA2,mem_test_full_restore_ones_highbit,no,indirect_call_target@0x0A98;project_loader,86,jmp,Verified
0x0AAC,mem_test_full_restore_ones_lowbit,no,indirect_call_target@0x0AA2;project_loader,86,jmp,Verified
0x0AB6,mem_test_full_fill_ones,no,indirect_call_target@0x0AAC;project_loader,30,jmp,Verified
0x0AC2,mem_test_full_restore_zeroes_highbit,no,indirect_call_target@0x0AB8;project_loader,84,jmp,Verified
0x0ACC,mem_test_full_restore_zeroes_lowbit,no,indirect_call_target@0x0AC2;project_loader,84,jmp,Verified
0x0AD6,mem_test_full_toggle_words,no,indirect_call_target@0x0ACC;project_loader,68,jmp,Verified
0x0AE0,mem_test_full_done,no,indirect_call_target@0x0AD6;project_loader,2,jmp,Verified
0x0C52,display_working_ram_error,yes,legacy_loader;project_loader,52,jmp,Verified
0x0C98,error_display_ram,yes,direct_call@0x0436;direct_call@0x04AC;direct_call@0x051C;direct_call@0x058C;direct_call@0x0684;direct_call@0x06AE;direct_call@0x06DA;direct_call@0x0706;legacy_loader;project_loader,40,rts,Verified
0x0CC0,rom_checksum_display,yes,direct_call@0x0796;legacy_loader;project_loader,102,rts,Verified
0x0D26,game_descriptor_ram_test,no,direct_call@0x0846;project_loader,20,,Verified
0x0D3A,game_descriptor_ram_test_done,no,continuation@0x0D30;project_loader,64,rts,Verified
0x0D7A,game_rom_checksum_error,no,direct_call@0x0876;direct_call@0x0880;project_loader,154,rts,Verified
0x0E14,os_vblank_mode_entry,yes,legacy_loader;project_loader;tail_jump@0x0A0C,74,jmp,Verified
0x0E5E,os_vblank_handler,yes,legacy_loader;project_loader,144,rte,Verified
0x0F04,playfield_add_word_test_range,no,direct_call@0x13F6;direct_call@0x140C;project_loader,24,rts,Verified
0x0F7E,copy_test_tile_rows_to_alpha,no,indirect_call_target@0x0FCE;project_loader,76,rts,Verified
0x0FCA,run_color_test,yes,direct_call@0x1450;legacy_loader;project_loader,372,rts,Verified
0x113E,read_debounced_input,no,direct_call@0x1122;direct_call@0x1A14;direct_call@0x1A84;direct_call@0x1CE2;direct_call@0x1CFC;direct_call@0x1D08;direct_call@0x1D14;direct_call@0x2320;direct_call@0x238E;direct_call@0x24A8;direct_call@0x250A;direct_call@0x2574;direct_call@0x25BA;direct_call@0x2812;direct_call@0x4F48;direct_call@0x50AA;direct_call@0x52C2;direct_call@0x55BE;indirect_call_target@0x12A4;project_loader,190,rts,Verified
0x11FC,color_test_palette_init,no,direct_call@0x1692;direct_call@0x16EC;project_loader,44,rts,Verified
0x1228,selftest_load_control_labels,no,direct_call@0x12B0;direct_call@0x1340;project_loader,114,rts,Verified
0x129A,os_selftest_loop,yes,direct_call@0x0E48;legacy_loader;project_loader,920,,Verified
0x1632,display_init_clear,yes,direct_call@0x0FD4;direct_call@0x1314;direct_call@0x1518;direct_call@0x17DE;direct_call@0x1A38;direct_call@0x1B36;direct_call@0x22B2;legacy_loader;project_loader,106,rts,Verified
0x169C,load_color_test_palettes,no,direct_call@0x12BC;project_loader,90,rts,Verified
0x16F6,copy_cstring,no,indirect_call_target@0x122A;project_loader,14,rts,Verified
0x1704,reset_sound_test_interface,no,direct_call@0x22DC;direct_call@0x2354;project_loader,46,rts,Verified
0x1732,fill_incrementing_words,no,indirect_call_target@0x17D6;project_loader,38,rts,Verified
0x1758,display_standard_large_glyph_range,no,direct_call@0x1908;direct_call@0x1926;direct_call@0x1942;project_loader,70,rts,Verified
0x179E,display_rotated_large_glyph_range,no,direct_call@0x1996;direct_call@0x19B6;direct_call@0x19D4;project_loader,54,rts,Verified
0x17D4,run_alpha_test,yes,direct_call@0x1438;legacy_loader;project_loader,608,rts,Verified
0x1A34,run_switch_test,no,direct_call@0x12C2;project_loader,236,rts,Verified
0x1B20,run_motion_object_test,yes,direct_call@0x1420;legacy_loader;project_loader,1648,rts,Verified
0x2190,wait_os_vblank,no,direct_call@0x1130;direct_call@0x1414;direct_call@0x1510;direct_call@0x161E;direct_call@0x1704;direct_call@0x1710;direct_call@0x1A22;direct_call@0x1B10;direct_call@0x217C;direct_call@0x2318;direct_call@0x23A4;direct_call@0x24A0;direct_call@0x2502;direct_call@0x256C;direct_call@0x278C;direct_call@0x280A;project_loader,16,rts,Verified
0x21A0,validate_game_rom,yes,direct_call@0x0952;legacy_loader;project_loader,202,rts,Verified
0x226A,display_next_test_prompt,no,direct_call@0x1116;direct_call@0x1368;direct_call@0x156E;direct_call@0x181C;direct_call@0x1A6A;direct_call@0x1B4C;direct_call@0x22CC;project_loader,50,rts,Verified
0x229C,run_sound_test,no,direct_call@0x1628;project_loader,1296,rts,Verified
0x27AC,send_sound_test_command_wait,no,direct_call@0x23B8;direct_call@0x2430;direct_call@0x264C;project_loader,72,rts,Verified
0x27F4,wait_sound_test_delay_or_abort,no,direct_call@0x24CE;direct_call@0x2530;direct_call@0x259A;direct_call@0x25F0;project_loader,52,rts,Verified
0x2828,display_ram_error_detail,no,direct_call@0x0CB4;direct_call@0x0D5E;project_loader,162,rts,Verified
0x28CA,display_two_byte_hex_pair,no,direct_call@0x0CE8;direct_call@0x0DA8;direct_call@0x2254;project_loader,78,rts,Verified
0x2918,format_number,yes,api_0x112;legacy_loader;project_loader,368,rts,Verified
0x2A5E,format_hex,yes,api_0x10C;direct_call@0x2EFE;direct_call@0x3324;legacy_loader;project_loader,96,rts,Verified
