call_site,target,name,phase,arguments,return,exceptional_convention,direct_call_sites,body_stack_argument_offsets,return_consumed_by_direct_callers,confidence
0x42A74,0x4327A,one_time_init,once,void,void,none,0x42A74,none,none,Verified
0x42A98,0x4DCBA,main_logo_updcolors,frame,void,void,none,0x42A98,none,none,Verified
0x42A9E,0x40644,input_debounce,frame,void,void,none,0x42A9E,none,none,Verified
0x42AA4,0x42B6A,coincheck,frame,void,void,none,0x42AA4,none,none,Verified
0x42AB4,0x40528,main_cycle_tport_and_ffield,frame,void,void,none,0x42AB4,none,none,Verified
0x42ABA,0x46FEA,main_handle_potions,frame,void,void,none,0x42ABA,none,none,Verified
0x42AC0,0x45C00,main_open_doors,frame,void,void,none,0x42AC0;0x51F9E,none,none,Verified
0x42AC6,0x474F6,main_handle_shots,frame,void,void,none,0x42AC6,none,none,Verified
0x42ACC,0x4A53A,main_move_players,frame,void,void,none,0x42ACC,none,none,Verified
0x42AD2,0x46CAA,main_scroll_playfield,frame,void,void,none,0x42AD2,none,none,Verified
0x42AD8,0x49034,main_move_monsters,frame,void,void,none,0x42AD8,none,none,Verified
0x42ADE,0x54454,main_handle_dragon,frame,void,void,none,0x42ADE,none,none,Verified
0x42AE4,0x4E8DC,main_thief_anim,frame,void,void,none,0x42AE4,none,none,Verified
0x42AEA,0x4DEB8,main_start_thief,frame,void,void,none,0x42AEA,none,none,Verified
0x42AF0,0x466F6,main_health_countdown,frame,void,void,none,0x42AF0,none,none,Verified
0x42AF6,0x4D29E,main_treasure_timer,frame,void,void,none,0x42AF6,none,none,Verified
0x42AFC,0x4664C,main_handle_death,frame,void,void,none,0x42AFC,none,none,Verified
0x42B02,0x5287C,main_exit_move,frame,void,void,none,0x42B02,none,none,Verified
0x42B08,0x5E62A,main_walls_cyclic_move,frame,void,void,none,0x42B08,none,none,Verified
0x42B0E,0x5E41A,main_walls_random_move,frame,void,void,none,0x42B0E,none,none,Verified
0x42B14,0x4CCBC,main_msgbox_countdown,frame,void,void,none,0x42B14;0x44232;0x44448;0x46B48;0x480DC;0x4C4AA;0x4C7CC;0x4C9DC,none,none,Verified
0x42B1A,0x42DF4,character_select_input_update,frame,void,void,none,0x42B1A,none,none,Verified
0x42B20,0x4800C,main_start_game,frame,void,void,none,0x42B20,none,none,Verified
0x42B26,0x4715E,main_score_update,frame,void,void,none,0x42B26,none,none,Verified
0x42B2C,0x457C0,main_score_display,frame,void,void,none,0x42B2C,none,none,Verified
0x42B32,0x44562,main_attract,frame,void,void,none,0x42B32,none,none,Verified
0x42B38,0x431EE,eeprom_periodic_write,frame,void,void,none,0x42B38,none,none,Verified
0x42B3E,0x42D0A,sound_response,frame,void,void,none,0x42B3E,none,none,Verified
0x42B44,0x4AE20,main_update_sound,frame,void,void,none,0x42B44,none,none,Verified
