address,name,arguments,return,exceptional_convention,direct_control_sites,confidence
0x5DC58,mob_create,"uint16 mob_slot, uint16 picture, uint16 hpos, uint16 vpos, uint16 object_type, uint16 object_state",void,frameless; saves D2-D7/A2-A6 before reading six normal stack slots,0x42F6E;0x43CDA;0x46286;0x4661E;0x46854;0x46906;0x48DF6;0x4941E;0x4B664;0x4DF6E;0x4F72C;0x4FC9C;0x509C8;0x5273E;0x54358;0x54404;0x5F530,Verified
0x5DCBC,moblist_insert,D1.w = doubled destination slot; A2-A6 = picture/H/V/link/state arrays,void,BSR-only register entry,0x5DC80;0x5DE0A,Verified
0x5DD72,moblist_replace,"uint16 source_slot, uint16 destination_slot",void,frameless; saves D2-D7/A2-A6 before reading normal stack slots,0x4F576;0x527CE,Verified
0x5DDA8,moblist_remove,uint16 mob_slot,void,frameless wrapper; preserves object fields and clears only link indices; no discovered direct control site,,Verified
0x5DDDA,moblist_remove_and_clear,uint16 mob_slot,void,frameless wrapper,0x400F6;0x43F52;0x46414;0x464E6;0x47204;0x47FDE;0x496CE;0x49766;0x498B4;0x499C2;0x49A88;0x4B490;0x4B55A;0x4B882;0x4B8DC;0x4BA16;0x4BC04;0x4BCFA;0x4D70A;0x4D82E;0x4EC2C;0x4F65C;0x4F682;0x4F8CC;0x4F8FE;0x4FC4C;0x508C6;0x50CFE;0x51404;0x51E6A;0x52354;0x5296E;0x52D76;0x54280;0x54290;0x542A0;0x542B0;0x5F36C;0x5F3DE;0x5F48E,Verified
0x5DE0A,move_mob_slot,"D2.w = doubled source slot, D1.w = doubled destination slot; A2-A6 = picture/H/V/link/state arrays",void,register entry; falls through into moblist_remove_and_clear_regs,0x410B0;0x41392;0x42520;0x42802;0x5DDA0,Verified
0x5DE44,moblist_remove_and_clear_regs,D2.w = doubled mob slot; A2-A6 = picture/H/V/link/state arrays,void,register entry; unlinks and zeros all five slot words,0x416EC;0x42878;0x4290E;0x429A4;0x42A3A;0x5DE02,Verified
0x5DED4,moblist_unlink_regs,D2.w = doubled mob slot; A2-A6 = picture/H/V/link/state arrays,void,register entry; preserves object fields and upper link/state bits,0x5DDD0,Verified
0x5DF68,mob_place_shot,"uint16 depth_key, uint16 physical_slot",void,tail-branches into shared saved-register body at 0x5DFA6; slot bias 0,0x492B0;0x5495E,Verified
0x5DF72,mob_place_anim,"uint16 depth_key, uint16 logical_channel",void,tail-branches into shared saved-register body at 0x5DFA6; physical slot = channel + 0x11,0x49588,Verified
0x5DF9C,mob_place_explosion,"uint16 depth_key, uint16 logical_channel",void,falls through into shared saved-register body at 0x5DFA6; physical slot = channel + 1,0x47B0C;0x537D0,Verified
0x5DFA6,insert_mob_depth_sorted,D7.w = resolved physical slot; first wrapper stack argument at 0x22(A7) = uint16 depth_key,void,shared inherited saved-register body; exits through wrapper epilogue,0x5DF66;0x5DF70;0x5DF7E,Verified
0x5E064,mob_depth_remove,uint16 physical_slot_minus_one,void,frameless normal-stack wrapper; resolves physical slot by adding 1,0x4693E;0x46978;0x471AC;0x4724E;0x47350;0x4741A;0x4746C;0x474B0;0x477BE;0x47AFA;0x47C6C;0x47D2E;0x47E36;0x489DE;0x48A0A;0x4A6C0;0x4B3D2;0x4B6D4;0x4BDFE;0x4D6B6;0x4D7D0;0x4D856;0x4F694,Verified
