address,name,region,sites,owners,opcodes,confidence
0x00802001,hw.eeprom,hardware,0x434C;0x441E;0x4536;0x482C,eeprom_init;eeprom_process;eeprom_read_block,"lea.l 0x802001.l, a1;lea.l 0x802001.l, a3",Verified
0x00803000,hw.input_word_array,hardware,0x0ED6,os_vblank_handler,"move.l 0x803000, d0",Verified
0x00803001,hw.player1_input,hardware,0x03F4;0x0404;0x046C;0x047C;0x04E2;0x04F2;0x0552;0x0562;0x05C2;0x05D2;0x07D4;0x07E4;0x08D0;0x08E0;0x092A;0x093C;0x0994;0x09A4,boot_postcheck_dispatch;main_init_cont;normal_boot_mob_test_done;selftest_boot_alpha_test_done;selftest_boot_color_test_done;selftest_boot_mob_test_done;selftest_boot_playfield_test_done;selftest_boot_spare_error_ack,"btst.b 0x0, 0x803001.l",Verified
0x00803009,hw.vblank_selftest,hardware,0x036C;0x03CA;0x03DA;0x03EA;0x0442;0x0452;0x0462;0x04B8;0x04C8;0x04D8;0x0528;0x0538;0x0548;0x0598;0x05A8;0x05B8;0x060C;0x079A;0x07AA;0x07BA;0x07CA;0x08A6;0x08B6;0x08C6;0x08F0;0x0900;0x0910;0x0920;0x095A;0x096A;0x097A;0x098A;0x09D8;0x0E8C;0x419E;0x41DA,boot_postcheck_dispatch;irq6_handler;main_init_cont;normal_boot_mob_test_done;os_vblank_handler;reset_entry;selftest_boot_alpha_test_done;selftest_boot_color_test_done;selftest_boot_mob_test_done;selftest_boot_playfield_test_done;selftest_boot_spare_error_ack;send_sound_command;send_sound_command_register;send_sound_command_wait;try_send_sound_command,"btst.b 0x3, 0x803009.l;btst.b 0x5, 0x803009.l;btst.b 0x6, 0x803009.l",Verified
0x0080300E,hw.sound_response_word,hardware,0x0386;0x038E;0x1716;0x430C,irq6_handler;reset_sound_cpu;reset_sound_test_interface,"move.w 0x80300e.l, 0x90400e.l;move.w 0x80300e.l, d0;move.w 0x80300e.l, d1;tst.w 0x80300e.l",Verified
0x0080300F,hw.sound_read,hardware,0x42BC,sound_receive_irq_body,"move.b 0x80300f.l, (a0)",Verified
0x00803100,hw.watchdog,hardware,0x03C4;0x03D4;0x03E4;0x03FE;0x043C;0x044C;0x045C;0x0476;0x04B2;0x04C2;0x04D2;0x04EC;0x0522;0x0532;0x0542;0x055C;0x0592;0x05A2;0x05B2;0x05CC;0x05FA;0x0636;0x0660;0x068A;0x06B4;0x06E0;0x0722;0x0754;0x077E;0x07A4;0x07B4;0x07C4;0x07DE;0x07F6;0x0858;0x0866;0x08A0;0x08B0;0x08C0;0x08DA;0x08FA;0x090A;0x091A;0x0936;0x0946;0x094C;0x0964;0x0974;0x0984;0x099E;0x09C0;0x09CC;0x09EA;0x0A06;0x0A20;0x0A32;0x0A42;0x0A52;0x0A62;0x0B1E;0x0B4C;0x0BA8;0x0BB4;0x0BD8;0x0C02;0x0C1E;0x0C5A;0x0CA0;0x0D50;0x0D68;0x0E68;0x47F4,boot_postcheck_dispatch;display_working_ram_error;eeprom_init;error_display_ram;game_descriptor_ram_test_done;main_init_cont;mem_test_full_restore_ones_highbit;mem_test_full_restore_ones_lowbit;mem_test_full_restore_zeroes_highbit;mem_test_full_restore_zeroes_lowbit;mem_test_full_toggle_words;mem_test_full_walk_ones_highbit;mem_test_full_walk_ones_lowbit;mem_test_full_walk_zeroes_highbit;mem_test_full_walk_zeroes_lowbit;mem_test_short;mem_test_short_done;mem_test_short_walk_ones;mem_test_short_walk_zeroes;normal_boot;normal_boot_alpha_test_done;normal_boot_color_test_done;normal_boot_mob_test_done;normal_boot_playfield_test_done;normal_boot_spare_error_resume;os_vblank_handler;reset_entry;selftest_boot_alpha_test_done;selftest_boot_color_test_done;selftest_boot_mob_test_done;selftest_boot_playfield_test_done;selftest_boot_spare_error_ack,"move.w d0, 0x803100.l",Verified
0x00803120,hw.board_enable_latch,hardware,0x05E6;0x05EE;0x0604;0x075A;0x07EE;0x0C52;0x0CA6;0x0CC0;0x0D56;0x0D7A,boot_postcheck_dispatch;display_working_ram_error;error_display_ram;game_descriptor_ram_test_done;game_rom_checksum_error;main_init_cont;normal_boot_mob_test_done;reset_entry;rom_checksum_display,"move.w 0x0, 0x803120.l;move.w 0x1, 0x803120.l",Verified
0x0080312E,hw.sound_reset_control,hardware,0x12B6;0x170A;0x1728;0x4306;0x4326,os_selftest_loop;reset_sound_cpu;reset_sound_test_interface,"clr.w 0x80312e.l;move.w 0x1, 0x80312e.l;move.w d0, 0x80312e.l",Verified
0x00803140,hw.vblank_ack,hardware,0x0364;0x0E62,irq4_vblank_handler;os_vblank_handler,"move.w d0, 0x803140.l",Verified
0x00803150,hw.eeprom_unlock,hardware,0x443E,eeprom_process,"move.w d0, 0x803150.l",Verified
0x00803170,hw.sound_command_word,hardware,0x1722;0x248C;0x24EE;0x2558;0x2786;0x279E;0x27B6;0x27F4;0x41AE;0x41E4;0x4312,reset_sound_cpu;reset_sound_test_interface;run_sound_test;send_sound_command;send_sound_command_register;send_sound_command_wait;send_sound_test_command_wait;try_send_sound_command;wait_sound_test_delay_or_abort,"clr.w 0x803170.l;move.w 0x4, 0x803170.l;move.w 0x5, 0x803170.l;move.w 0x8, 0x803170.l;move.w 0xa(a7), 0x803170.l;move.w d0, 0x803170.l;move.w d3, 0x803170.l",Verified
0x00900000,vram.playfield,video_or_work_ram,0x048E;0x0690;0x0F08;0x132E;0x1544;0x164A,display_init_clear;normal_boot_color_test_done;os_selftest_loop;playfield_add_word_test_range;selftest_boot_color_test_done;selftest_boot_playfield_test_done,"lea.l 0x900000.l, a0;lea.l 0x900000.l, a1;movea.l 0x900000, a0;movea.l 0x900000, a1",Verified
0x00901FFE,vram.playfield_last_word,video_or_work_ram,0x0494;0x0696;0x1652,display_init_clear;normal_boot_color_test_done;selftest_boot_color_test_done;selftest_boot_playfield_test_done,"cmpi.l 0x901ffe, d2;lea.l 0x901ffe.l, a2",Verified
0x00902000,vram.mob_picture,video_or_work_ram,0x056C;0x06E6;0x167C,display_init_clear;normal_boot_alpha_test_done;selftest_boot_alpha_test_done;selftest_boot_mob_test_done,"lea.l 0x902000.l, a1;movea.l 0x902000, a0",Verified
0x00903000,vram.mob_vpos,video_or_work_ram,0x1674,display_init_clear,"movea.l 0x903000, a0",Verified
0x00903800,vram.mob_link,video_or_work_ram,0x1684,display_init_clear,"movea.l 0x903800, a0",Verified
0x00903FFE,vram.mob_last_word,video_or_work_ram,0x0572;0x06EC,normal_boot_alpha_test_done;selftest_boot_alpha_test_done;selftest_boot_mob_test_done,"lea.l 0x903ffe.l, a2",Verified
0x00904000,ram.os_flag,video_or_work_ram,0x03A0;0x063C;0x070E;0x09BA;0x0E34,boot_postcheck_dispatch;main_init_cont;normal_boot;normal_boot_mob_test_done;os_vblank_mode_entry;selftest_boot,"clr.w 0x904000.l;lea.l 0x904000.l, a0;lea.l 0x904000.l, a1",Verified
0x00904004,ram.os_vblank_occurred,video_or_work_ram,0x0E2E;0x0EA8;0x2190;0x2196,os_vblank_handler;os_vblank_mode_entry;wait_os_vblank,"clr.w 0x904004.l;move.w 0x1, 0x904004.l;tst.w 0x904004.l",Verified
0x00904006,ram.pf_vscroll_hi,video_or_work_ram,0x0E1C;0x0E6E;0x13A6;0x1604;0x1B68;0x1DE6,os_selftest_loop;os_vblank_handler;os_vblank_mode_entry;run_motion_object_test,"add.w d0, 0x904006.l;add.w d2, 0x904006.l;clr.w 0x904006.l;move.w 0x904006.l, d0;move.w d2, 0x904006.l",Verified
0x00904008,ram.pf_hscroll,video_or_work_ram,0x0E22;0x0E82;0x13BA;0x1618;0x1B62;0x1DFA,os_selftest_loop;os_vblank_handler;os_vblank_mode_entry;run_motion_object_test,"add.w d0, 0x904008.l;add.w d2, 0x904008.l;clr.w 0x904008.l;move.w 0x904008.l, 0x930000.l;move.w d2, 0x904008.l",Verified
0x0090400A,ram.pf_vscroll_lo,video_or_work_ram,0x0E28;0x0E76;0x12AA,os_selftest_loop;os_vblank_handler;os_vblank_mode_entry,"clr.w 0x90400a.l;movea.l 0x90400a, a4;or.w 0x90400a.l, d0",Verified
0x0090400C,ram.timer_countdown,video_or_work_ram,0x0EB0;0x22A6;0x27BC;0x27D0;0x27FA;0x2802,os_vblank_handler;run_sound_test;send_sound_test_command_wait;wait_sound_test_delay_or_abort,"move.w 0x1e, 0x90400c.l;move.w 0x4, 0x90400c.l;movea.l 0x90400c, a4;subq.w 0x1, 0x90400c.l;tst.w 0x90400c.l",Verified
0x0090400E,ram.sound_data_recv,video_or_work_ram,0x038E;0x171C;0x22EC;0x2304;0x236A;0x27E4,irq6_handler;reset_sound_test_interface;run_sound_test;send_sound_test_command_wait,"clr.w 0x90400e.l;move.w 0x80300e.l, 0x90400e.l;move.w 0x90400e.l, d0",Verified
0x00904010,ram.sound_data_flag,video_or_work_ram,0x0398;0x27B0,irq6_handler;send_sound_test_command_wait,"clr.w 0x904010.l;movea.l 0x904010, a0",Verified
0x00904012,ram.sound_test_status_value,video_or_work_ram,0x2436;0x243E;0x2448;0x2458;0x2612;0x262C,run_sound_test,"clr.w 0x904012.l;cmp.w 0x904012.l, d0;cmp.w 0x904012.l, d3;move.w 0x904012.l, d1;move.w 0x904012.l, d3;move.w d0, 0x904012.l",Verified
0x00904014,ram.game_hook_flag,video_or_work_ram,0x07FC;0x0826;0x0A00;0x0EBC;0x1230;0x12C8;0x165C;0x1A42;0x21A4;0x226E,boot_postcheck_dispatch;display_init_clear;display_next_test_prompt;main_init_cont;normal_boot_mob_test_done;os_selftest_loop;os_vblank_handler;run_switch_test;selftest_load_control_labels;validate_game_rom,"clr.w 0x904014.l;move.w 0x1, 0x904014.l;move.w d5, 0x904014.l;tst.w 0x904014.l",Verified
0x0090403E,ram.selftest_button0_label,video_or_work_ram,0x123E;0x126E,selftest_load_control_labels,pea.l 0x90403e.l,Verified
0x00904058,ram.selftest_button1_label,video_or_work_ram,0x124C;0x127C,selftest_load_control_labels,pea.l 0x904058.l,Verified
0x00904072,ram.selftest_joystick_label,video_or_work_ram,0x125A;0x128A,selftest_load_control_labels,pea.l 0x904072.l,Verified
0x0090408C,ram.motion_test_object_index,video_or_work_ram,0x1B24,run_motion_object_test,"movea.l 0x90408c, a2",Verified
0x0090408E,ram.motion_test_pattern,video_or_work_ram,0x1B56;0x1E5E;0x1E66,run_motion_object_test,"and.w 0x90408e.l, d2;move.w d1, 0x90408e.l;move.w d2, 0x90408e.l",Verified
0x00904F00,ram.text_repeat_bias,video_or_work_ram,0x0762;0x09AE;0x2B40;0x2D62;0x2DCC;0x2E9E;0x30C8;0x30F6;0x3176;0x3236;0x33BA,allocate_text_effect;boot_postcheck_dispatch;clear_large_text;clear_text_descriptor_chain;display_large_text;display_text;display_text_register;main_init_cont;normal_boot_mob_test_done;process_text_effects;rotate_text_line_forward;rotate_text_line_forward_register;rotate_text_line_reverse;rotate_text_line_reverse_register;start_blink_text;start_progressive_text;start_timed_text;stop_text_effect,"add.w 0x904f00.l, d0;add.w 0x904f00.l, d1;add.w 0x904f00.l, d2;lea.l 0x904f00.l, a2;lea.l 0x904f00.l, a7",Verified
0x00904F02,ram.fullscreen_scroll_active,video_or_work_ram,0x314E,init_fullscreen_text_scroll,"move.w d0, 0x904f02.l",Verified
0x00904F04,ram.vblank_sync,video_or_work_ram,0x359E,wait_vblanks,"lea.l 0x904f04.l, a0",Verified
0x00904F06,ram.fullscreen_scroll_offset,video_or_work_ram,0x2E5C;0x2E78;0x313C,display_text;display_text_register;init_fullscreen_text_scroll,"add.w 0x904f06.l, d1;clr.w 0x904f06.l;sub.w 0x904f06.l, d0",Verified
0x00904F0A,ram.fullscreen_scroll_interval,video_or_work_ram,0x3136,init_fullscreen_text_scroll,"move.w d1, 0x904f0a.l",Verified
0x00904F0C,ram.os_vblank_active,video_or_work_ram,0x034A;0x0E14;0x0E52;0x1158,irq4_vblank_handler;os_vblank_mode_entry;read_debounced_input,"clr.w 0x904f0c.l;move.w 0x1, 0x904f0c.l;tst.w 0x904f0c.l",Verified
0x00904F0E,ram.display_mode,video_or_work_ram,0x2CE4;0x2D1E;0x2D7E;0x2DE6;0x2E46;0x2F04;0x2F54;0x2FE0;0x3054;0x309C;0x31E4;0x3356;0x3538,calc_alpha_address;clear_large_text;clear_text_descriptor_chain;display_large_text;display_text;display_text_register;draw_string;draw_string_register;draw_text_effect_next_char;init_alpha_display;rotate_text_line_forward;rotate_text_line_forward_register;rotate_text_line_reverse;rotate_text_line_reverse_register;scroll_alpha_surface_one_step;write_alpha_char;write_alpha_char_register,"move.w d0, 0x904f0e.l;tst.w 0x904f0e.l",Verified
0x00904F18,ram.text_effect_slots,video_or_work_ram,0x355C,reset_text_effects,"lea.l 0x904f18.l, a0",Verified
0x00904F44,ram.highscore_work_buffer,video_or_work_ram,0x39BC,read_high_score_entry,"movea.l 0x904f44, a2",Verified
0x00904F4B,ram.active_player_time_mask,video_or_work_ram,0x3BF6;0x4024;0x406A,activate_player_time_tracking;record_player_session_histogram;update_active_player_time_stats,"move.b 0x904f4b.l, d1;movea.l 0x904f4b, a3",Verified
0x00904F4C,ram.player_time_last_vblank,video_or_work_ram,0x3BF0,update_active_player_time_stats,"movea.l 0x904f4c, a2",Verified
0x00904F78,ram.operator_cursor0,video_or_work_ram,0x48CA;0x4924;0x494E,display_decimal_at_cursor;display_text_at_cursor;display_text_set_cursor,"move.b 0x904f78.l, d0;movea.l 0x904f78, a1",Verified
0x00904F79,ram.operator_cursor1,video_or_work_ram,0x48D8;0x4918;0x4942,display_decimal_at_cursor;display_text_at_cursor;display_text_set_cursor,"move.b 0x904f79.l, d0;move.b d0, 0x904f79.l",Verified
0x00904F7A,ram.input_previous_raw,video_or_work_ram,0x114C,read_debounced_input,"movea.l 0x904f7a, a4",Verified
0x00904F82,ram.input_debounced,video_or_work_ram,0x1146,read_debounced_input,"movea.l 0x904f82, a2",Verified
0x00904F8A,ram.input_source_ptr,video_or_work_ram,0x0EDC;0x1152;0x1AA0;0x200A,os_vblank_handler;read_debounced_input;run_motion_object_test;run_switch_test,"adda.l 0x904f8a.l, a0;move.l d0, 0x904f8a.l;movea.l 0x904f8a, a3;movea.l 0x904f8a.l, a1",Verified
0x00904F8E,ram.sound_queue,video_or_work_ram,0x4184;0x41FA;0x421E;0x4244;0x427E;0x42C8;0x42F8,process_sound;read_sound_data;reset_sound_cpu;send_sound_command;sound_receive_irq_body,"lea.l 0x904f8e.l, a0;lea.l 0x904f8e.l, a1",Verified
0x00904FA8,ram.eeprom_work,video_or_work_ram,0x4330;0x47B0;0x4802;0x4826,eeprom_check_busy;eeprom_clear_configuration;eeprom_clear_difficulty_rows;eeprom_clear_statistics;eeprom_process;eeprom_read_block;eeprom_request_write;eeprom_request_write_register,"lea.l 0x904fa8.l, a1;lea.l 0x904fa8.l, a2;or.l d1, 0x904fa8.l",Verified
0x00904FC0,ram.eeprom_error_count,video_or_work_ram,0x4368;0x4370;0x44DA,eeprom_init;eeprom_process,"addq.b 0x1, 0x904fc0.l;subq.b 0x1, 0x904fc0.l;tst.b 0x904fc0.l",Verified
0x00904FEB,ram.sound_status_poll_busy_count,video_or_work_ram,0x4234;0x425C;0x4266,process_sound,"addq.b 0x1, 0x904feb.l;clr.b 0x904feb.l;subq.b 0x1, 0x904feb.l",Verified
0x00904FEC,ram.coin_counters,video_or_work_ram,0x3612;0x3682;0x3764;0x37DA;0x382C,calc_health_per_coin;check_and_deduct_coin;check_and_deduct_credits;process_coins,"movea.l 0x904fec, a0",Verified
0x00904FF0,ram.coin_totals,video_or_work_ram,0x35D4,process_coins,"movea.l 0x904ff0, a1",Verified
0x00904FF4,ram.coin_pending,video_or_work_ram,0x36EA;0x3758;0x3820,calc_health_per_coin;check_and_deduct_credits;process_coins,"movea.l 0x904ff4, a0",Verified
