literal_address,covering_flags,example_uses,confidence
0x904000,ram.os_flag,attract_highscores@0x4A134;level_splash@0x4BE5C;level_splash@0x4C058;level_splash@0x4C10C;load_legend_page@0x4CD2A;main_handle_potions@0x47052,Verified
0x904002,ram.vblank_semaphore,eeprom_load_config@0x430DA;eeprom_load_config@0x430E0;forcefield_segments_setup@0x53652;g2mainloop@0x42A6E;game_vblank@0x401AC;game_vblank@0x401BE,Verified
0x904004,ram.os_vblank_occurred,game_vblank@0x401B2;level_splash@0x4BE38;level_splash@0x4BE52;level_splash@0x4BFAE;level_splash@0x4C0A4;main_attract@0x44924,Verified
0x904006,ram.pf_vscroll_hi,g2mainloop@0x42A86;game_vblank@0x40304;game_vblank@0x40328;game_vblank@0x403C4;main_cycle_tport_and_ffield@0x4059C;main_handle_shots@0x475BC,Verified
0x904007,ram.pf_vscroll_hi,main_handle_shots@0x478CE;main_score_display@0x4580C,Verified
0x904008,ram.pf_hscroll,attract_highscores@0x4A166;dialog_position_box@0x4CB96;dialog_position_box@0x4CBE0;display_state_clear@0x5FD28;draw_legend_monsters_page@0x4CDC6;draw_legend_rules_page@0x4CFE8,Verified
0x90400A,ram.pf_vscroll_lo,attract_highscores@0x4A16E;dialog_position_box@0x4CBB2;dialog_position_box@0x4CBF4;display_state_clear@0x5FD22;draw_legend_monsters_page@0x4CDCE;draw_legend_rules_page@0x4CFF0,Verified
0x90400C,ram.timer_countdown,game_vblank@0x40196;one_time_init@0x4328E,Verified
0x90400E,ram.sound_data_recv,eeprom_load_config@0x4302A;eeprom_periodic_write@0x43224;player_exit_sequence@0x52DFE;player_exit_sequence@0x52E24;player_exit_sequence@0x52E30,Verified
0x90400F,ram.sound_data_recv,eeprom_write@0x431AA,Verified
0x904010,ram.sound_data_flag,eeprom_load_config@0x42F94;eeprom_periodic_write@0x43212;main_health_countdown@0x46A0E;maze_checknum@0x52EDE,Verified
0x904011,ram.sound_data_flag,eeprom_write@0x431A0,Verified
0x904012,ram.sound_test_status_value,eeprom_load_config@0x43086;eeprom_load_config@0x430FC;eeprom_load_config@0x4317E;eeprom_periodic_write@0x431F2;main_health_countdown@0x46A98;maze_checknum@0x52F10,Verified
