start,end_exclusive,size_bytes,name,format_and_purpose,reachability,confidence
0x0C86,0x0C98,18,working_ram_error_text,NUL-terminated early-boot diagnostic string,active OS,Verified
0x0F1C,0x0F7E,98,rom_error_descriptor_pointer_tables,three indexed tables of 16-bit display-descriptor addresses used for ROM lane/socket errors,active OS,Verified
0x2A48,0x2A5E,22,number_format_bit_masks,eleven words selected by the generic numeric formatter's mode index,active OS,Verified
0x2C16,0x2C22,12,text_effect_dispatch_offsets,six signed word offsets relative to 0x2C16,active OS,Verified
0x33D2,0x34A2,208,large_character_tile_quads,52 four-byte large-character tile-number records,active OS,Verified
0x34A2,0x3522,128,large_character_clear_maps,large-character clearing/width lookup records,active OS,Verified
0x44BE,0x44CA,12,eeprom_redundancy_probe_order,word seed followed by signed byte offsets for redundant-record bit probing,active OS,Verified
0x4736,0x4746,16,eeprom_bit_index_map,sixteen signed byte mappings from packed bit index to EEPROM record bit,active OS,Verified
0x599A,0x5A1A,128,motion_test_lookup_tables,"palette words, position/delta words, and 8x8 multiplication bytes for the Motion Object test",active OS,Verified
0x5A1A,0x5A4A,48,diagnostic_pointer_and_endpoint_tables,error-descriptor pointers plus MOB/alpha/input hardware endpoints,active OS,Verified
0x5A4A,0x6114,1738,selftest_descriptor_and_string_stream,"control labels and chained display descriptors/strings for RAM, switch, display, MOB, and sound tests",active OS,Verified
0x6114,0x6134,32,color_name_pointer_table,"eight big-endian pointers to color-name strings, including a null terminator",active OS,Verified
0x6134,0x6174,64,display_test_selection_tables,signed word selection/enable matrices used by self-test and Motion Object test,active OS,Verified
0x6174,0x6184,16,display_test_palette_words,eight palette words for convergence/display tests,active OS,Verified
0x6184,0x6624,1184,color_test_palette_source_prefix,packed color-test palette words copied to MOB/shadow/playfield color RAM,active OS,Verified
0x6624,0x6784,352,palette_and_rom_error_descriptor_overlap,"tail of the 768-word palette source, simultaneously structured as ROM-error display descriptors and strings",active OS,Verified
0x6784,0x6986,514,rom_error_descriptor_stream,"remaining per-socket ROM error descriptors, one-character lane labels, and strings",active OS,Verified
0x6986,0x698E,8,coin_counter_decode_table,eight packed 2-bit coin-counter decode bytes,active OS,Verified
0x698E,0x69A8,26,game_config_descriptor_table,thirteen two-byte packed configuration descriptors,active OS,Verified
0x69A8,0x69AC,4,session_difficulty_factors,four one-byte histogram weighting factors,active OS,Verified
0x69AC,0x6A46,154,statistics_prompt_strings,NUL-terminated histogram/navigation labels and short display fragments,active OS,Verified
0x6A46,0x6B18,210,statistics_summary_table,"title, eleven longword string pointers, and NUL-terminated summary labels",active OS,Verified
0x6B18,0x6B66,78,statistics_error_and_navigation_descriptors,EEPROM-error descriptor plus clear/histogram navigation strings,active OS,Verified
0x6B66,0x6B8A,36,operator_more_marker_variants,three glyph-decorated MORE strings used by option navigation,active OS,Verified
0x6B8A,0x6B9A,16,operator_ui_palette,eight palette words for operator Motion Objects,active OS,Verified
0x6B9A,0x6D3A,416,operator_option_descriptor_stream,"display descriptors and strings for save/cancel, raw-bit, game, and coin editors",active OS,Verified
0x6D3A,0x6DA8,110,built_in_coin_option_stream,tagged multiplier/bonus-adder prompts and NUL-terminated choices including Free Play,active OS,Verified
0x860C,0x8702,246,legacy_object_motion_tables,"word offsets, longword picture values, packed MOB attributes, and byte direction records",retained module; unreachable in supplied Gauntlet II,Strong inference
0x8A64,0x8AE8,132,legacy_direction_route_tables,eight-direction word/byte lookup records and movement masks,retained module; unreachable in supplied Gauntlet II,Strong inference
0x8B9E,0x8C36,152,legacy_mob_bucket_tables,MOB bucket/link constants and insertion-order records,retained module; unreachable in supplied Gauntlet II,Strong inference
0x8D86,0x8F38,434,legacy_path_probe_tables,"signed neighbor offsets, direction maps, and path-probe constants",retained module; unreachable in supplied Gauntlet II,Strong inference
0x9252,0x9284,50,legacy_recursive_move_tables,neighbor-order and recursive path-selection constants,retained module; unreachable in supplied Gauntlet II,Strong inference
