start,end_inclusive,size_bytes,classification,rom_flags,catalog_rows,confidence
0x5818C,0x581C3,56,intentional_overlapping_views,demo_input_streams;demo_player0_input_stream,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.;Player 0 demo input stream (28 command pairs), ending at 0x581C3",Verified
0x581C4,0x58259,150,intentional_overlapping_views,demo_input_streams;demo_player1_input_stream,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.;Player 1 demo input stream (75 command pairs; primary Elf script), ending at 0x58259",Verified
0x5825A,0x5825B,2,intentional_overlapping_views,demo_input_streams;demo_player2_input_stream,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.;Player 2 demo input stream (one minimal command pair)",Verified
0x5825C,0x5828B,48,intentional_overlapping_views,demo_input_streams;demo_player3_input_stream,"Four adjacent demo-player streams through 0x5828B, split by the pointer table at 0x58098 into 56, 150, 2, and 48 bytes. Commands are 2-byte pairs. First byte 0x00–0xFD = frame duration and second byte = recorded input; 0xFF = show dialog tip whose index is the second byte; 0xFE = join/switch demo player encoded by the second byte.;Player 3/final demo-stream tail through 0x5828B; the pointer at 0x580A4 starts at 0x5825C, so the formerly isolated 0x5825E–0x5828B bytes belong to this stream",Verified
0x592B6,0x59325,112,intentional_overlapping_views,anim_tiles_death;anim_tiles_death_moving_view,anim_tiles_death;anim_tiles_death_moving_view,Verified
0x5AFA6,0x5AFAD,8,intentional_overlapping_views,aux_palette_init;character_palette_ptrs,aux_palette_init;character_palette_ptrs,Verified
0x5AFAE,0x5B00D,96,intentional_overlapping_views,aux_palette_init;tport_palette_cycle_blocks,aux_palette_init;tport_palette_cycle_blocks,Verified
0x5B00E,0x5B025,24,intentional_overlapping_views,aux_palette_init;character_full_palettes,"Four character full palettes (128 B each): Warrior, Valkyrie, Wizard, Elf. Each has four 32-byte sub-palettes (normal/poisoned/ghost/invulnerable); exact range 0x5B00E–0x5B20D;aux_palette_init",Verified
0x5BA68,0x5BA69,2,intentional_overlapping_views,exit_desc_by_floorpattern;logo_outer_timer_init,exit_desc_by_floorpattern;logo_outer_timer_init,Verified
0x5BA6A,0x5BA6B,2,intentional_overlapping_views,exit_desc_by_floorpattern;logo_inner_timer_init,exit_desc_by_floorpattern;logo_inner_timer_init,Verified
0x5BA6C,0x5BA6D,2,intentional_overlapping_views,exit_desc_by_floorpattern;logo_bright_min,exit_desc_by_floorpattern;logo_bright_min,Verified
0x5BA6E,0x5BA6F,2,intentional_overlapping_views,exit_desc_by_floorpattern;logo_bright_max,exit_desc_by_floorpattern;logo_bright_max,Verified
0x5BA70,0x5BAAF,64,intentional_overlapping_views,exit_desc_by_floorpattern;forcefield_gfx_ptrs,exit_desc_by_floorpattern;forcefield_gfx_ptrs,Verified
0x5BAB0,0x5BABF,16,intentional_overlapping_views,exit_desc_by_floorpattern;shot_reflect_hdelta,exit_desc_by_floorpattern;shot_reflect_hdelta,Verified
0x5BAC0,0x5BACF,16,intentional_overlapping_views,exit_desc_by_floorpattern;shot_reflect_vdelta,exit_desc_by_floorpattern;shot_reflect_vdelta,Verified
0x5BAD0,0x5BADF,16,intentional_overlapping_views,exit_desc_by_floorpattern;shot_reflect_sound_tbl,exit_desc_by_floorpattern;shot_reflect_sound_tbl,Verified
0x5BAE0,0x5BBDF,256,intentional_overlapping_views,exit_desc_by_floorpattern;floor_desc_base,exit_desc_by_floorpattern;floor_desc_base,Verified
0x5BBE0,0x5BC1B,60,intentional_overlapping_views,exit_desc_by_floorpattern;wall_desc_blocks,exit_desc_by_floorpattern;wall_desc_blocks,Verified
0x5CB48,0x5CD3F,504,intentional_overlapping_views,attract_display_tile_stream;special_object_tile_numbers,attract_display_tile_stream;special_object_tile_numbers,Verified
0x5CD40,0x5D2F7,1464,intentional_overlapping_views,attract_display_tile_stream;special_object_anim_tiles,attract_display_tile_stream;special_object_anim_tiles,Verified
0x5D7E8,0x5D847,96,intentional_overlapping_views,playfield_special_palette_bank;playfield_special_palette_lowwall_view,playfield_special_palette_bank;playfield_special_palette_lowwall_view,Verified
