address,name,arguments,return,exceptional_convention,direct_control_sites,confidence
0x40628,calc_score_per_coin,"uint32 score, uint16 coin_count",D0.l = unsigned 32-bit score / coin_count,frameless two-stage 68000 32/16 division leaf,0x46A42,Verified
0x42B6A,coincheck,void,void,,0x42AA4,Verified
0x452D0,setup_infopanel,int16 player_selector (-1 = whole panel),void,,0x42CA4;0x42E7E;0x44542;0x447C4;0x448F2;0x449E4;0x44F3E;0x46AD0;0x48278;0x4833A;0x48524;0x489A8;0x48B3A;0x49DD6;0x4A10A;0x4ACC2;0x4D4E4;0x4E392;0x4E3F8,Verified
0x457C0,main_score_display,void,void,,0x42B2C,Verified
0x45940,draw_player_score,uint16 player_index,void,,0x4550A;0x4582A,Verified
0x459A2,draw_player_health,uint16 player_index,void,,0x45516;0x4585C,Verified
0x4715E,main_score_update,void,void,,0x42B26,Verified
0x488CA,player_coindrop,uint16 player_index,void,,0x42CEA;0x484C4;0x484FE;0x485EA;0x486D4;0x48A6A,Verified
0x48B58,update_monster_spawn_bonus_from_score_per_coin,void,void,,0x4834E;0x48588;0x48668,Verified
0x49498,playfield_showscore,"uint16 source_mob_slot, uint16 popup_type_index",void,,0x49478;0x4BBE6;0x519B8;0x51BE8,Verified
0x49BD0,highscore_table_init,void,void,,0x43306,Verified
0x49D0E,highscore_check,uint16 player_index,void,,0x46AC4,Verified
0x4A124,attract_highscores,void,void,calls fixed OS draw/display service indirectly through A2 = 0x200,0x4450C,Verified
0x4A2CA,draw_player_initials_entry,uint16 player_index,void,,0x45542,Verified
0x4AD4E,sound_speech_play,uint8 sound_id,void,,0x483B0;0x483F4;0x48780;0x487B4;0x48888;0x4889C;0x4B98C;0x4B9B8;0x4B9C4;0x4BAC6;0x4BAF2;0x4BAFE;0x4BE90;0x4BEBC;0x4BEE8;0x4BF62;0x4BFA4;0x4C52A;0x4C8AE;0x4C8F8;0x4C940;0x4D3FA;0x4E992;0x50F58;0x51B42;0x51B4E,Verified
0x4AD76,sound_play,uint8 sound_id,void,,0x40ED8;0x41A1A;0x41DD4;0x41FDC;0x42210;0x4241C;0x42CBA;0x44260;0x442A0;0x44454;0x44480;0x444F2;0x44D0C;0x44D9C;0x44F6E;0x458E0;0x458FE;0x46B16;0x46B2A;0x46BF2;0x47062;0x470AE;0x47104;0x47140;0x47FFA;0x48134;0x4814E;0x48190;0x48392;0x48530;0x48908;0x48ABC;0x48C9A;0x49680;0x4988A;0x499B2;0x49B34;0x4AD26;0x4AD6C;0x4B1A2;0x4B2FE;0x4B52E;0x4B8BE;0x4B9F8;0x4BA2C;0x4C48C;0x4C6F4;0x4C96E;0x4D3A0;0x4D3C0;0x4D450;0x4D490;0x4D4A8;0x4D4C0;0x4DFD8;0x4E41E;0x4E97C;0x4F850;0x4FCE0;0x5016C;0x50534;0x5264A;0x52A52;0x52EAE;0x537F0;0x53CD0;0x54180;0x54AE8;0x5E672,Verified
0x4C440,dialog_first_encounter,"uint16 player_index, uint32 encounter_mask, optional uint16 numeric_value","D0.l = 1 when the selected dialog has a speech entry, else 0",third argument is consumed only by the numeric-message record; other call sites pass only player and mask,0x46788;0x470CC;0x47134;0x49700;0x4986A;0x49A2C;0x4AAEE;0x4B184;0x4B29C;0x4B2E2;0x4B704;0x4B8FA;0x4B930;0x4BA50;0x4E274;0x4E40A;0x4EC0A;0x5084C;0x50AAA;0x50EBA;0x51284;0x51394;0x513F8;0x51488;0x51620;0x516C8;0x51716;0x51796;0x51C06;0x51CB4;0x51CE8;0x52620,Verified
0x4C70A,dialog_clear_message,int16 last_character_index,void,,0x4C5C2;0x4C838;0x4CA6C,Verified
0x4C72A,player_give_item_with_message,"uint16 player_index, uint16 item_index","D0.l = 1 when the item is newly granted, else 0",,0x517C4;0x517E8;0x5184E;0x51866;0x51892;0x518F2,Verified
0x4CB50,dialog_position_box,int16 player_index_or_minus1,void,,0x4C584;0x4C802;0x4CA30,Verified
0x4CCBC,main_msgbox_countdown,void,void,,0x42B14;0x44232;0x44448;0x46B48;0x480DC;0x4C4AA;0x4C7CC;0x4C9DC,Verified
0x4D1A4,secret_check_winner,void,"D0.l = -1 when the current secret-task/progress state earns the secret-room coin bonus, else 0",,0x4D4B0,Verified
0x4DE76,score_screen_color_cycle,void,void,,0x4DCD8,Verified
0x5214C,player_add_score_with_mult,"uint16 player_index, uint16 base_score",void,,0x496EE;0x49778;0x498C4;0x4BD88;0x4F5F4;0x514FE;0x5196A;0x51AC4;0x52336;0x5245A;0x524E4;0x52578,Verified
