address,name,purpose,arguments,return,exceptional_convention,confidence
0x0300,exception_handler,Dispatch CPU exceptions to the optional game exception veneer or return from the exception,CPU exception frame,no scalar result; D0.w=0 on game dispatch,vector entry; RTE or tail-JMP,Verified
0x0314,irq1_handler,Dispatch IRQ1 to game hook 0x4000C when installed,CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,Verified
0x0326,irq2_handler,Dispatch IRQ2 to game hook 0x40018 when installed,CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,Verified
0x0338,irq3_handler,Dispatch IRQ3 to game hook 0x40012 when installed,CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,Verified
0x034A,irq4_vblank_handler,"Dispatch VBLANK to the OS handler or game hook, otherwise acknowledge it locally",CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,Verified
0x036C,irq6_handler,Dispatch self-test-mode IRQ6 to the game sound hook or consume/store the OS-lane sound response,CPU interrupt frame,no scalar result,interrupt entry; RTE or tail-JMP,Verified
0x03A0,selftest_boot,Start the full destructive test of video-RAM spare before the self-test boot continuation chain,void,no return,early-boot tail entry; installs A4 continuation,Verified
0x05E2,reset_entry,"Mask interrupts, pulse the board latch, delay while petting watchdog, and select normal or self-test boot",reset-vector CPU state,no return,reset vector entry; tail-JMP,Verified
0x061E,normal_boot,Seed color RAM and start the short destructive video-RAM-spare test for normal boot,void,no return,early-boot tail entry; installs A4 continuation,Verified
0x070C,main_init_cont,"Initialize display/stack, validate OS and game ROM checksums plus EEPROM, clear OS RAM, and dispatch game or OS mode",void,no return,early-boot continuation; final tail dispatch,Verified
0x0C52,display_working_ram_error,Write the fixed 'Working RAM error' message to diagnostic video memory,A4=continuation,no ordinary return,register continuation entry; JMP (A4),Verified
0x0C98,error_display_ram,Initialize alpha display and show detailed RAM-test failure values,D4.l=error class; A0=failing address; D0.w=expected; D1.w=actual,void,register wrapper that constructs four normal stack arguments,Verified
0x0CC0,rom_checksum_display,Display OS-ROM checksum accumulators and identify failed even/odd byte lanes,D0.b=even accumulator; D1.b=odd accumulator,D5.w=2,early-boot register helper; clobbers D2/D3/D5,Verified
0x0E14,os_vblank_mode_entry,Enable OS-owned VBLANK processing and enter the non-returning OS self-test loop,D5.w=mode value pushed as an unused long argument,no return,register entry; its post-call cleanup/tail-JMP has no discovered returning predecessor,Verified
0x0E5E,os_vblank_handler,"Acknowledge VBLANK, update scroll/input/text/EEPROM state, and return from interrupt",CPU interrupt frame,no scalar result,interrupt entry; saves D0-D1/A0-A1 and RTE,Verified
0x2828,display_ram_error_detail,"Draw RAM region name, failing address, expected word, and actual word",error class/index; failing address; expected word; actual word,void,normal four-slot stack ABI,Verified
