target,sites,owners,opcodes,confidence
0x599A,0x1C0E;0x1C38,run_motion_object_test,"movea.l 0x599a, a1",Verified
0x59BA,0x1C84,run_motion_object_test,"movea.l 0x59ba, a1",Verified
0x59CA,0x1C9C,run_motion_object_test,"movea.l 0x59ca, a1",Verified
0x59DA,0x1F6E,run_motion_object_test,"movea.l 0x59da, a1",Verified
0x5A1A,0x210A,run_motion_object_test,pea.l 0x5a1a.l,Verified
0x5A1C,0x2840,display_ram_error_detail,"movea.l 0x5a1c, a0",Verified
0x5A32,0x1B30,run_motion_object_test,"movea.l 0x5a32, a4",Verified
0x5A36,0x1B2A,run_motion_object_test,"movea.l 0x5a36, a3",Verified
0x5A3A,0x1B96;0x1C7A;0x1D70;0x1D80;0x1E36;0x1E4E;0x1F06;0x1F1C;0x1F42;0x2090;0x215C,run_motion_object_test,"add.l 0x5a3a.l, d1;adda.l 0x5a3a.l, a0;adda.l 0x5a3a.l, a1",Verified
0x5A3E,0x1BA8;0x1BD6;0x1CAE;0x1CC2;0x1D46;0x1DB4;0x1DC4,run_motion_object_test,"add.l 0x5a3e.l, d0;add.l 0x5a3e.l, d1;adda.l 0x5a3e.l, a0;adda.l 0x5a3e.l, a1;move.l 0x5a3e.l, d7;movea.l 0x5a3e.l, a0",Verified
0x5A42,0x1BC6;0x1BE4,run_motion_object_test,"adda.l 0x5a42.l, a0;move.l 0x5a42.l, d0",Verified
0x5A46,0x1176,read_debounced_input,"move.l 0x5a46.l, (a3)",Verified
0x5A4A,0x1268,selftest_load_control_labels,pea.l 0x5a4a.l,Verified
0x5A54,0x1276,selftest_load_control_labels,pea.l 0x5a54.l,Verified
0x5A5E,0x1284,selftest_load_control_labels,pea.l 0x5a5e.l,Verified
0x5B22,0x2856,display_ram_error_detail,pea.l 0x5b22.l,Verified
0x5B58,0x2286,display_next_test_prompt,"move.l 0x5b58, d1",Verified
0x5B8E,0x227E,display_next_test_prompt,"move.l 0x5b8e, d1",Verified
0x5BEE,0x1A72,run_switch_test,pea.l 0x5bee.l,Verified
0x5C66,0x1A5C,run_switch_test,pea.l 0x5c66.l,Verified
0x5C7E,0x134C,os_selftest_loop,pea.l 0x5c7e.l,Verified
0x5C96,0x135A,os_selftest_loop,pea.l 0x5c96.l,Verified
0x5CA6,0x17E8,run_alpha_test,pea.l 0x5ca6.l,Verified
0x5CAE,0x17F8,run_alpha_test,pea.l 0x5cae.l,Verified
0x5CB6,0x180A,run_alpha_test,pea.l 0x5cb6.l,Verified
0x5CCA,0x1104,run_color_test,pea.l 0x5cca.l,Verified
0x5CDE,0x1560,os_selftest_loop,pea.l 0x5cde.l,Verified
0x5CFA,0x1B3E,run_motion_object_test,pea.l 0x5cfa.l,Verified
0x5D7C,0x1CD2,run_motion_object_test,pea.l 0x5d7c.l,Verified
0x5D98,0x22BE,run_sound_test,pea.l 0x5d98.l,Verified
0x5DC4,0x22D4;0x2362,run_sound_test,pea.l 0x5dc4.l,Verified
0x5DE2,0x2344;0x23AC;0x2796,run_sound_test,pea.l 0x5de2.l,Verified
0x5EFC,0x2416,run_sound_test,"movea.l 0x5efc, a0",Verified
0x5F0C,0x2382,run_sound_test,"move.l 0x5f0c.l, -(a7)",Verified
0x5F38,0x2472,run_sound_test,pea.l 0x5f38.l,Verified
0x5F54,0x23C2,run_sound_test,pea.l 0x5f54.l,Verified
0x5F74,0x23D4,run_sound_test,pea.l 0x5f74.l,Verified
0x5FFA,0x25AA,run_sound_test,pea.l 0x5ffa.l,Verified
0x600C,0x270E,run_sound_test,pea.l 0x600c.l,Verified
0x6026,0x2724,run_sound_test,pea.l 0x6026.l,Verified
0x6040,0x2480;0x24B8;0x24C6;0x2738,run_sound_test,pea.l 0x6040.l,Verified
0x605A,0x24E2;0x251A;0x2528;0x274C,run_sound_test,pea.l 0x605a.l,Verified
0x6074,0x254C;0x2584;0x2592;0x2768,run_sound_test,pea.l 0x6074.l,Verified
0x608E,0x2776,run_sound_test,pea.l 0x608e.l,Verified
0x6114,0x14A4;0x14CA;0x1502,os_selftest_loop,"movea.l 0x6114, a0",Verified
0x6128,0x1580;0x15AA;0x15E2,os_selftest_loop,"movea.l 0x6128, a0",Verified
0x6134,0x139C;0x15FA;0x1DDC,os_selftest_loop;run_motion_object_test,"movea.l 0x6134, a0;movea.l 0x6134, a1",Verified
0x6154,0x13B0;0x160E;0x1DF0,os_selftest_loop;run_motion_object_test,"movea.l 0x6154, a0;movea.l 0x6154, a1",Verified
0x6174,0x148C;0x14EA,os_selftest_loop,"movea.l 0x6174, a0",Verified
0x617E,0x15CA,os_selftest_loop,"movea.l 0x617e, a0",Verified
0x6184,0x16A4,load_color_test_palettes,"movea.l 0x6184, a0",Verified
0x65A4,0x1032,run_color_test,pea.l 0x65a4.l,Verified
0x65C4,0x1046,run_color_test,pea.l 0x65c4.l,Verified
0x65E4,0x105A,run_color_test,pea.l 0x65e4.l,Verified
0x6604,0x106E,run_color_test,pea.l 0x6604.l,Verified
0x6624,0x0CD0,rom_checksum_display,pea.l 0x6624.l,Verified
0x663C,0x0CFC,rom_checksum_display,pea.l 0x663c.l,Verified
0x6646,0x0D14,rom_checksum_display,pea.l 0x6646.l,Verified
0x666E,0x088E,boot_postcheck_dispatch;main_init_cont;normal_boot_mob_test_done,pea.l 0x666e.l,Verified
0x6712,0x21EE,validate_game_rom,pea.l 0x6712.l,Verified
0x6878,0x2210,validate_game_rom,pea.l 0x6878.l,Verified
0x6918,0x2232,validate_game_rom,pea.l 0x6918.l,Verified
0x6986,0x36A6,process_coins,"movea.l 0x6986, a0",Verified
0x698E,0x38FE;0x391A;0x3DF0;0x3E16,read_game_config;write_game_config,"movea.l 0x698e, a0",Verified
0x69A8,0x40B4,record_player_session_histogram,"movea.l 0x69a8, a0",Verified
0x69AC,0x4BF8,display_next_screen_prompt,pea.l 0x69ac.l,Verified
0x69B4,0x4C1A,display_next_screen_prompt,pea.l 0x69b4.l,Verified
0x69C6,0x4CA6,run_statistics_histograms,pea.l 0x69c6.l,Verified
0x69DC,0x4D40,run_statistics_histograms,pea.l 0x69dc.l,Verified
0x69DE,0x4D7C,run_statistics_histograms,pea.l 0x69de.l,Verified
0x69E4,0x4ECE,run_statistics_histograms,pea.l 0x69e4.l,Verified
0x69EC,0x4EEE,run_statistics_histograms,pea.l 0x69ec.l,Verified
0x6A06,0x4F0E,run_statistics_histograms,pea.l 0x6a06.l,Verified
0x6A0E,0x4F2E,run_statistics_histograms,pea.l 0x6a0e.l,Verified
0x6A1E,0x4FE4,display_statistics_play_time,pea.l 0x6a1e.l,Verified
0x6A2E,0x5062,display_statistics_play_time,pea.l 0x6a2e.l,Verified
