entry_kind,address,name,purpose,arguments,return,exceptional_convention,reachability,source_catalog,confidence
api_veneer,0x0100,start_blink_text,Fixed OS API absolute-JMP veneer to start_blink_text,descriptor pointer; color/style word; interval word,D0.l=1 allocated; 0 no free slot,absolute JMP veneer; target convention: normal API wrapper into 0x3172,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0106,format_decimal,Fixed OS API absolute-JMP veneer to format_decimal,"value; destination buffer; field width word; nonzero=space pad, zero=zero pad",void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x010C,format_hex,Fixed OS API absolute-JMP veneer to format_hex,"value; destination buffer; field width word; nonzero=space pad, zero=zero pad",void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0112,format_number,Fixed OS API absolute-JMP veneer to format_number,value; destination buffer; format byte; format mode word; field width word,void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0118,stop_text_effect,Fixed OS API absolute-JMP veneer to stop_text_effect,descriptor pointer,void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x011E,start_progressive_text_clear,Fixed OS API absolute-JMP veneer to start_progressive_text_clear,descriptor pointer; interval word,D0.l=1 allocated; 0 no free slot,absolute JMP veneer; target convention: two-argument API wrapper; forces stored color to zero,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0124,start_text_line_rotation,Fixed OS API absolute-JMP veneer to start_text_line_rotation,descriptor pointer; color/style word; signed interval word,D0.l=1 allocated; 0 no free slot,absolute JMP veneer; target convention: normal API wrapper into 0x3172,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x012A,start_timed_text,Fixed OS API absolute-JMP veneer to start_timed_text,descriptor pointer; color/style word; interval word,D0.l=1 allocated; 0 no free slot,absolute JMP veneer; target convention: normal API wrapper into 0x3172,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0130,start_progressive_text,Fixed OS API absolute-JMP veneer to start_progressive_text,descriptor pointer; color/style word; interval word,D0.l=1 allocated; 0 no free slot,absolute JMP veneer; target convention: normal API wrapper into 0x3172,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0136,init_fullscreen_text_scroll,Fixed OS API absolute-JMP veneer to init_fullscreen_text_scroll,descriptor pointer; color/style word; interval word,D0.l=1 allocated; 0 no free slot,absolute JMP veneer; target convention: normal API wrapper; also stores active flag and interval,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x013C,set_text_position,Fixed OS API absolute-JMP veneer to set_text_position,descriptor pointer; coordinate0; coordinate1,void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0142,display_text,Fixed OS API absolute-JMP veneer to display_text,descriptor pointer; color/style word,void,absolute JMP veneer; target convention: normal API implementation,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0148,process_text_effects,Fixed OS API absolute-JMP veneer to process_text_effects,void,void,absolute JMP veneer; target convention: normally called once per OS VBLANK,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x014E,init_alpha_display,Fixed OS API absolute-JMP veneer to init_alpha_display,void,void,absolute JMP veneer; target convention: normal API implementation,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0154,wait_vblanks,Fixed OS API absolute-JMP veneer to wait_vblanks,count word,void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x015A,process_sound,Fixed OS API absolute-JMP veneer to process_sound,void,void,absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0160,calc_health_per_coin,Fixed OS API absolute-JMP veneer to calc_health_per_coin,player index long,"D0.l = 12 * accumulated coin units / multiplier, or 24 in free play",absolute JMP veneer; target convention: normal stack ABI; mutates the selected pending and accumulated coin bytes,fixed public veneer,os_callable_contracts.csv,Verified
api_veneer,0x0166,check_and_deduct_coin,Fixed OS API absolute-JMP veneer to check_and_deduct_coin,player index long,"D0.l = 1 on success/free play, 0 when insufficient",absolute JMP veneer; target convention: normal stack ABI,fixed public veneer,os_callable_contracts.csv,Verified
