address,rom_name,status,python_equivalent,evidence,confidence
0x40000,game_start_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode. Apparent source hits are false positives: the ROM-base expression 'A - 0x40000' in romtext.py/score.py/shots.py.",high
0x40006,game_vblank_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x4000C,game_irq1_watchdog_trap,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x40012,game_irq3_watchdog_trap,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x40018,game_irq2_watchdog_trap,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x4001E,game_irq6_sound_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x40024,game_exception_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x40030,game_playfield_init_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x40048,game_options_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x40054,game_rom_verify_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x400DE,scroll_to_slot_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x400E4,init_display_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x400EA,maze_setup_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x400F0,pf_replace_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x400F6,mob_clear_veneer,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x40140,game_exception_abort,unnecessary,none,"OS jump-table veneer / reset / trap: tail-jumps or halts; no behaviour of its own. gauntpy has no 68000 vector table, watchdog or supervisor mode.",high
0x4014C,game_start,unnecessary,none (gameplay side effect ported: maze_objects.select_forcefield_delay_profile),"Reset body: sets SR=0x2300, installs three playfield colour pointers and the forcefield cycle-delay pointer, tail-jumps to g2mainloop. Only the forcefield delay profile is gameplay; it is selected in maze_objects.select_forcefield_delay_profile from maze.load_level.",high
0x4017E,game_vblank,complete,gauntpy/src/gauntpy/display.py :: mainloop.tick VBLANK hooks (mainloop.py:129-146) + display.py,"MERGED/DECOMPOSED into potion_flash_vblank, player_hurt_palette_vblank, alpha_palette_vblank and playfield_palette_vblank. Hardware half (watchdog ack, semaphore, scroll-register publish) intentionally absent.",high
0x404A0,palette_power_warrior,complete,gauntpy/src/gauntpy/display.py :: display.PLAYER_POWER_PALETTE_CYCLES + display.player_palette_vblank,MERGED: frameless ROM-pointer leaf; its palette cycle data is transcribed into display.py tables driven by player_palette_vblank.,high
0x404AE,palette_hurt_warrior,complete,gauntpy/src/gauntpy/display.py :: display.PLAYER_HURT_PALETTE_CYCLES + display.player_palette_vblank,MERGED: frameless ROM-pointer leaf (warrior hurt cycle).,high
0x404BC,palette_power_valkyrie,complete,gauntpy/src/gauntpy/display.py :: display.PLAYER_POWER_PALETTE_CYCLES + display.player_palette_vblank,MERGED: frameless ROM-pointer leaf (valkyrie power cycle).,high
0x404D0,palette_hurt_valkyrie,complete,gauntpy/src/gauntpy/display.py :: display.PLAYER_HURT_PALETTE_CYCLES + display.player_palette_vblank,MERGED: frameless ROM-pointer leaf (valkyrie hurt cycle).,high
0x404E4,palette_power_wizard,complete,gauntpy/src/gauntpy/display.py :: display.PLAYER_POWER_PALETTE_CYCLES + display.player_palette_vblank,MERGED: frameless ROM-pointer leaf (wizard power cycle).,high
0x404F8,palette_hurt_wizard,complete,gauntpy/src/gauntpy/display.py :: display.PLAYER_HURT_PALETTE_CYCLES + display.player_palette_vblank,MERGED: frameless ROM-pointer leaf (wizard hurt cycle).,high
0x4050C,palette_power_elf,complete,gauntpy/src/gauntpy/display.py :: display.PLAYER_POWER_PALETTE_CYCLES + display.player_palette_vblank,MERGED: frameless ROM-pointer leaf (elf power cycle).,high
0x4051A,palette_hurt_elf,complete,gauntpy/src/gauntpy/display.py :: display.PLAYER_HURT_PALETTE_CYCLES + display.player_palette_vblank,MERGED: frameless ROM-pointer leaf (elf hurt cycle).,high
0x40528,main_cycle_tport_and_ffield,complete,gauntpy/src/gauntpy/subsystems/maze_objects.py :: main_cycle_tport_and_ffield,"Direct port: the ROM address is annotated on the porting function's docstring/comment in maze_objects.py, the gauntpy convention for a one-to-one transcription.",high
0x40628,calc_score_per_coin,complete,gauntpy/src/gauntpy/subsystems/players.py :: calc_score_per_coin,"Direct port: the ROM address is annotated on the porting function's docstring/comment in players.py, the gauntpy convention for a one-to-one transcription.",high
0x40644,input_debounce,complete,gauntpy/src/gauntpy/mainloop.py :: input_debounce,"Direct port: the ROM address is annotated on the porting function's docstring/comment in mainloop.py, the gauntpy convention for a one-to-one transcription.",high
0x406B6,mob_probe_up,complete,gauntpy/src/gauntpy/subsystems/players.py :: mob_probe_up,"Direct port: the ROM address is annotated on the porting function's docstring/comment in players.py, the gauntpy convention for a one-to-one transcription.",high
0x40732,mob_probe_down,complete,gauntpy/src/gauntpy/subsystems/players.py :: mob_probe_down,"Direct port: the ROM address is annotated on the porting function's docstring/comment in players.py, the gauntpy convention for a one-to-one transcription.",high
0x407A6,mob_probe_candidate,complete,gauntpy/src/gauntpy/subsystems/players.py :: mob_probe_candidate,"Direct port: the ROM address is annotated on the porting function's docstring/comment in players.py, the gauntpy convention for a one-to-one transcription.",high
0x4083A,mob_probe_left,complete,gauntpy/src/gauntpy/subsystems/players.py :: mob_probe_left,"Direct port: the ROM address is annotated on the porting function's docstring/comment in players.py, the gauntpy convention for a one-to-one transcription.",high
0x408A0,mob_probe_right,complete,gauntpy/src/gauntpy/subsystems/players.py :: mob_probe_right,"Direct port: the ROM address is annotated on the porting function's docstring/comment in players.py, the gauntpy convention for a one-to-one transcription.",high
0x40906,shot_mob_collision,complete,gauntpy/src/gauntpy/subsystems/shots.py :: shot_mob_collision,"Direct port: the ROM address is annotated on the porting function's docstring/comment in shots.py, the gauntpy convention for a one-to-one transcription.",high
0x40A78,shot_collision_candidate_core,complete,gauntpy/src/gauntpy/subsystems/shots.py :: shot_collision_candidate_core,"Direct port: the ROM address is annotated on the porting function's docstring/comment in shots.py, the gauntpy convention for a one-to-one transcription.",high
0x40C78,find_maze,complete,gauntpy/src/gauntpy/maze.py :: find_maze,"Direct port: the ROM address is annotated on the porting function's docstring/comment in maze.py, the gauntpy convention for a one-to-one transcription.",high
0x40CC4,maze_select_alt_bank,unnecessary,none,"Slapstic bank-switch command leaf. gauntpy reads maze records through gex decode (maze.find_maze / decode_maze), so ROM bank paging has no counterpart.",high
0x40CF2,maze_init,unnecessary,none,"Slapstic bank-switch command leaf. gauntpy reads maze records through gex decode (maze.find_maze / decode_maze), so ROM bank paging has no counterpart.",high
0x40D24,maze_select_bank,unnecessary,none,"Slapstic bank-switch command leaf. gauntpy reads maze records through gex decode (maze.find_maze / decode_maze), so ROM bank paging has no counterpart.",high
0x40D4E,maze_select_bank_special,unnecessary,none,"Slapstic bank-switch command leaf. gauntpy reads maze records through gex decode (maze.find_maze / decode_maze), so ROM bank paging has no counterpart.",high
0x40E6A,monsters_everything,complete,gauntpy/src/gauntpy/subsystems/monsters.py :: monsters_everything,"Direct port: the ROM address is annotated on the porting function's docstring/comment in monsters.py, the gauntpy convention for a one-to-one transcription.",high
0x40FAE,monster_loop_core,complete,gauntpy/src/gauntpy/subsystems/monsters.py :: monsters.monsters_everything (0x40E6A port),"MERGED: the per-monster loop body is inlined in the monsters_everything port. Name-only references at coords.py:245, mob.py:326, players.py:3526.",medium-high
0x4119A,monster_special_handler,complete,gauntpy/src/gauntpy/subsystems/monsters.py :: monster_special_handler,"Direct port: the ROM address is annotated on the porting function's docstring/comment in monsters.py, the gauntpy convention for a one-to-one transcription.",high
0x414A4,monster_update_anim_tile,complete,gauntpy/src/gauntpy/subsystems/monsters.py :: monster_update_anim_tile,"Direct port: the ROM address is annotated on the porting function's docstring/comment in monsters.py, the gauntpy convention for a one-to-one transcription.",high
0x41750,monster_find_and_shoot,complete,gauntpy/src/gauntpy/subsystems/monsters.py :: monster_find_and_shoot,"Direct port: the ROM address is annotated on the porting function's docstring/comment in monsters.py, the gauntpy convention for a one-to-one transcription.",high
0x41B16,find_unused_shot,complete,gauntpy/src/gauntpy/subsystems/monsters.py :: find_unused_shot,"Direct port: the ROM address is annotated on the porting function's docstring/comment in monsters.py, the gauntpy convention for a one-to-one transcription.",high
0x41B52,monster_shooter_in_view,complete,gauntpy/src/gauntpy/subsystems/monsters.py :: monster_shooter_in_view,"Direct port: the ROM address is annotated on the porting function's docstring/comment in monsters.py, the gauntpy convention for a one-to-one transcription.",high
0x41B7E,apply_direction_from_delta,complete,gauntpy/src/gauntpy/subsystems/monsters.py :: apply_direction_from_delta,"Direct port: the ROM address is annotated on the porting function's docstring/comment in monsters.py, the gauntpy convention for a one-to-one transcription.",high
0x41BF0,player_try_move,complete,gauntpy/src/gauntpy/subsystems/players.py :: player_try_move,"Direct port: the ROM address is annotated on the porting function's docstring/comment in players.py, the gauntpy convention for a one-to-one transcription.",high
0x41C30,player_try_move_core,unnecessary,"none (body: players.player_try_move, players.py:4564)",Register re-entry point into player_try_move (0x41BF0); doc/07 lists it as a frameless reentry with no independent behaviour.,high
0x42598,mob_collision_test_preserve_d1_a,unnecessary,"none (body: players.mob_collision_test, 0x52192)",Register/stack ABI variant that falls through into an already ported body; Python calls the single shared helper directly. D1-preserving entry a.,high
0x425B4,mob_collision_test_preserve_d1_b,unnecessary,"none (body: players.mob_collision_test, 0x52192)",Register/stack ABI variant that falls through into an already ported body; Python calls the single shared helper directly. D1-preserving entry b.,high
0x425D0,probe_up,complete,gauntpy/src/gauntpy/subsystems/players.py :: players.mob_probe_up + players._probe_candidate_blocks,MERGED ALIAS. The four probe_* leaves and tile_lookup_core are folded into the mob_probe_* family (players.py:4290-4425) plus _probe_candidate_blocks (players.py:3925). probe_up's 0xF080 top-boundary gate is inlined in player_try_move as _TOP_PLAYER_BOUNDARY_V; comment at players.py:3884 names 0x425D0 explicitly.,high
0x4260C,probe_down,complete,gauntpy/src/gauntpy/subsystems/players.py :: players.mob_probe_down + players._probe_candidate_blocks,MERGED ALIAS into the mob_probe_* family (players.py:4290-4425).,high
0x42648,tile_lookup_core,complete,gauntpy/src/gauntpy/subsystems/players.py :: players._probe_candidate_blocks (players.py:3925),MERGED ALIAS: the shared tile-lookup core of the probe family.,high
0x426D4,probe_left,complete,gauntpy/src/gauntpy/subsystems/players.py :: players.mob_probe_left + players._probe_candidate_blocks,MERGED ALIAS into the mob_probe_* family (players.py:4290-4425).,high
0x4270C,probe_right,complete,gauntpy/src/gauntpy/subsystems/players.py :: players.mob_probe_right + players._probe_candidate_blocks,MERGED ALIAS into the mob_probe_* family (players.py:4290-4425).,high
0x42744,squeeze_through_check,complete,gauntpy/src/gauntpy/subsystems/players.py :: squeeze_through_check,"Direct port: the ROM address is annotated on the porting function's docstring/comment in players.py, the gauntpy convention for a one-to-one transcription.",high
0x427B4,failed_door_post,complete,gauntpy/src/gauntpy/mob.py :: tail of players._push_movable_wall (players.py:4237),MERGED: the pushed-wall migration tail (0x4280E-0x42A64 range).,high
