site,owners,kind,opcode,target,target_name,register_source,classification,confidence
0x0100,process_text_effects,jmp,jmp 0x3162.l,0x3162,start_blink_text,,direct_internal_root,Verified
0x030C,exception_handler,jmp,jmp 0x40024.l,0x40024,,,direct_game_header_hook,Verified
0x031E,irq1_handler,jmp,jmp 0x4000c.l,0x4000C,,,direct_game_header_hook,Verified
0x0330,irq2_handler,jmp,jmp 0x40018.l,0x40018,,,direct_game_header_hook,Verified
0x0342,irq3_handler,jmp,jmp 0x40012.l,0x40012,,,direct_game_header_hook,Verified
0x035E,irq4_vblank_handler,jmp,jmp 0x40006.l,0x40006,,,direct_game_header_hook,Verified
0x0380,irq6_handler,jmp,jmp 0x4001e.l,0x4001E,,,direct_game_header_hook,Verified
0x0436,selftest_boot_color_test_done,jsr,jsr 0xc98.l,0x0C98,error_display_ram,,direct_internal_root,Verified
0x04AC,selftest_boot_playfield_test_done,jsr,jsr 0xc98.l,0x0C98,error_display_ram,,direct_internal_root,Verified
0x051C,selftest_boot_alpha_test_done,jsr,jsr 0xc98.l,0x0C98,error_display_ram,,direct_internal_root,Verified
0x058C,selftest_boot_mob_test_done,jsr,jsr 0xc98.l,0x0C98,error_display_ram,,direct_internal_root,Verified
0x05DC,selftest_boot_mob_test_done,jmp,jmp 0x70c.l,0x070C,main_init_cont,,direct_internal_root,Verified
0x0618,reset_entry,jmp,jmp 0x3a0.l,0x03A0,selftest_boot,,direct_internal_root,Verified
0x0684,normal_boot_color_test_done,jsr,jsr 0xc98.l,0x0C98,error_display_ram,,direct_internal_root,Verified
0x06AE,normal_boot_playfield_test_done,jsr,jsr 0xc98.l,0x0C98,error_display_ram,,direct_internal_root,Verified
0x06DA,normal_boot_alpha_test_done,jsr,jsr 0xc98.l,0x0C98,error_display_ram,,direct_internal_root,Verified
0x0706,normal_boot_mob_test_done,jsr,jsr 0xc98.l,0x0C98,error_display_ram,,direct_internal_root,Verified
0x0768,main_init_cont;normal_boot_mob_test_done,jsr,jsr 0x3522.l,0x3522,init_alpha_display,,direct_internal_root,Verified
0x0894,boot_postcheck_dispatch;main_init_cont;normal_boot_mob_test_done,jsr,jsr 0x2e36.l,0x2E36,display_text,,direct_internal_root,Verified
