kind,address,name,purpose,arguments,return,exceptional_convention,confidence
callable,0x2B3C,process_text_effects,Advance full-screen scrolling and all four timed text-effect slots,void,void,normally called once per OS VBLANK,Verified
dispatch,0x2C22,text_effect_case_timed_clear,Type 1: deactivate the slot and clear its descriptor chain,inherited D0.w=2*slot; D2.w=slot; A2=0x904F00,returns through process_text_effects loop,computed-dispatch entry; inherits parent saved-register frame,Verified
dispatch,0x2C32,text_effect_case_blink,Type 2: alternate the complete descriptor chain between clear and drawn states,inherited D0.w=2*slot; D2.w=slot; A2=0x904F00,returns through process_text_effects loop,computed-dispatch entry; inherits parent saved-register frame,Verified
dispatch,0x2C64,text_effect_case_progressive_draw,Type 3: draw the next string character and advance/chains on its terminator,inherited D0.w=2*slot; D2.w=slot; A2=0x904F00,returns through process_text_effects loop,computed-dispatch entry; inherits parent saved-register frame,Verified
dispatch,0x2C82,text_effect_case_progressive_clear,Type 4: clear the next string character and advance/chains on its terminator,inherited D0.w=2*slot; D2.w=slot; A2=0x904F00,returns through process_text_effects loop,computed-dispatch entry; inherits parent saved-register frame,Verified
dispatch,0x2CC4,text_effect_case_rotate_forward,Type 5: rotate each selected descriptor line in the first direction,inherited D0.w=2*slot; D2.w=slot; A2=0x904F00,returns through process_text_effects loop,computed-dispatch entry; inherits parent saved-register frame,Verified
dispatch,0x2CD0,text_effect_case_rotate_reverse,Type 6: rotate each selected descriptor line in the opposite direction,inherited D0.w=2*slot; D2.w=slot; A2=0x904F00,returns through process_text_effects loop,computed-dispatch entry; inherits parent saved-register frame,Verified
callable,0x2D14,rotate_text_line_forward,Rotate every descriptor-selected alpha line one cell in the first direction with wrap,descriptor pointer,void,normal-stack veneer over the A0 register body,Verified
callable,0x2D18,rotate_text_line_forward_register,Rotate every descriptor-selected alpha line one cell in the first direction with wrap,A0=descriptor pointer,void,register entry used by text-effect type 5,Verified
callable,0x2D74,rotate_text_line_reverse,Rotate every descriptor-selected alpha line one cell in the opposite direction with wrap,descriptor pointer,void,normal-stack veneer over the A0 register body,Verified
callable,0x2D78,rotate_text_line_reverse_register,Rotate every descriptor-selected alpha line one cell in the opposite direction with wrap,A0=descriptor pointer,void,register entry used by text-effect type 6,Verified
callable,0x2DDE,scroll_alpha_surface_one_step,Shift the visible alpha surface one cell and clear the newly exposed edge,void,void,frameless internal entry,Verified
callable,0x2E36,display_text,Draw a chained text descriptor at its current full-screen scroll offset,descriptor pointer; color/style word,void,normal API implementation,Verified
callable,0x2E3E,display_text_register,Draw a chained text descriptor at its current full-screen scroll offset,A0=descriptor pointer; D1.w=color/style,void,register entry used by the effect engine,Verified
callable,0x2F04,draw_string,Draw one NUL-terminated string at an alpha coordinate,column byte; row byte; string pointer; color/style word,D0.l=source bytes consumed including NUL,normal API implementation,Verified
callable,0x2F3C,draw_string_register,Draw one NUL-terminated string from a precomputed alpha offset,D0.w=alpha byte offset; D1.w=color/style; A0=string; A1=word stride,D0.l=source bytes consumed including NUL,register entry,Verified
callable,0x2FBE,draw_text_effect_next_char,Draw one indexed character for progressive effect type 3,A0=descriptor; D0.w=character index; D1.w=color/style,D0.l=3 while a character was drawn; 0 at NUL,register entry; constructs coordinate slots for 0x304E,Verified
callable,0x3020,clear_text_effect_next_char,Clear one indexed character position for progressive effect type 4,A0=descriptor; D0.w=character index,D0.l=4 while a character was cleared; 0 at NUL,register entry; constructs coordinate slots for 0x304E,Verified
callable,0x3044,write_alpha_char,Write one character/tile plus attributes at an alpha coordinate,column byte; row byte; character word; color/style word,void,normal API implementation,Verified
callable,0x304E,write_alpha_char_register,Write one precombined character/tile plus attributes at an alpha coordinate,D0.w=character/tile; D1.w=color/style; coordinate bytes in caller stack at +7/+11,void,shared register/stack body,Verified
callable,0x308C,clear_text_descriptor_chain,Clear all visible non-NUL character cells in a chained text descriptor,A0=descriptor pointer,void,register entry used by stop/effect paths,Verified
callable,0x3122,start_text_line_rotation,Allocate type 5 or 6 cyclic line rotation according to interval sign,descriptor pointer; color/style word; signed interval word,D0.l=1 allocated; 0 no free slot,normal API wrapper into 0x3172,Verified
callable,0x3130,init_fullscreen_text_scroll,Initialize and allocate type 7 full-alpha scrolling,descriptor pointer; color/style word; interval word,D0.l=1 allocated; 0 no free slot,normal API wrapper; also stores active flag and interval,Verified
callable,0x3156,start_progressive_text_clear,Allocate type 4 progressive character clearing,descriptor pointer; interval word,D0.l=1 allocated; 0 no free slot,two-argument API wrapper; forces stored color to zero,Verified
callable,0x3162,start_blink_text,Allocate type 2 whole-descriptor blinking,descriptor pointer; color/style word; interval word,D0.l=1 allocated; 0 no free slot,normal API wrapper into 0x3172,Verified
