address,name,arguments,return,exceptional_convention,direct_control_sites,confidence
0x48F12,tile_occupancy_test,uint16 candidate_packed_slot,"D0.l = -1 when usable; 0 when out of bounds, occupied, or too near another MOB",normal stack,0x48C76;0x4935C;0x4DEFA,Verified
0x50BB8,scan_move_path_interactions,"int16 (*neighbor_probe)(uint16 packed_slot), uint16 packed_slot, uint16 player_index",void,calls the supplied probe through A2 until negative/blocked; resolves removable interior objects,0x50A1E;0x50A36;0x50A4E;0x50A66,Verified
0x50C7A,resolve_move_tile_interaction,"uint16 mob_slot, uint16 player_index",D0.l = -1 when interaction/type blocks continued cleanup; 0 after removable-object cleanup,normal stack; recursive for type 0x0F after thief/exit cleanup,0x50934;0x50C64;0x50CF0,Verified
0x50D14,nearby_mob_clearance_test,"uint16 candidate_packed_slot, uint16 excluded_player_index_or_4",D0.l = -1 when clear; 0 when a qualifying nearby MOB overlaps the 0x7C0 axis window,second argument 0-3 excludes that player's own hpos nibble 12+index; 4 excludes none,0x4FBB4;0x5049A;0x50810,Verified
0x50FD2,path_grid_set_low_direction,"uint16 grid_index, uint8 direction",void,normal stack; writes direction+1 to low nibble of a 44-column/128-byte-stride grid,0x4E672,Verified
0x51000,path_grid_set_high_direction_if_empty,"uint16 grid_index, uint8 direction",void,normal stack; no-op in thief-mode bit 1 or when high nibble is already nonzero,0x47280;0x4DFB4;0x4F5AA;0x4FCD4;0x50202,Verified
0x5103E,path_grid_get_direction,uint16 grid_index,D0.l = direction 0-7; 8 when the selected nibble is unset/invalid,"normal stack; bit 1 of thief mode selects high nibble, otherwise low nibble",0x4E834;0x4E88E;0x4F930;0x4F99E;0x4FA80;0x4FAB8,Verified
0x510FC,calc_direction,"uint16 from_packed_slot, uint16 to_packed_slot",D0.w = direction 0-7; 8 when positions are equal,normal stack; honors horizontal/vertical wrap flags,0x47270;0x49960;0x4E662;0x4E704;0x4E794;0x4E854;0x4EC78;0x4EC92;0x4FCC4;0x50008;0x52826,Verified
0x51E80,door_open_start,"uint16 packed_door_slot, uint16 player_index, uint16 door_object_type",void,normal stack; fills that player's two endpoint positions/directions and calls main_open_doors,0x51DD8;0x51E24,Verified
0x51FAE,door_scan_vertical_endpoints,"uint16 packed_door_slot, uint16 player_index, uint16 next_endpoint_index","D0.l = updated endpoint index, clamped at 2",normal stack; tests only the immediate above/below cells and writes direction codes 0/2,0x51F52;0x51F96,Verified
0x5207C,door_scan_horizontal_endpoints,"uint16 packed_door_slot, uint16 player_index, uint16 next_endpoint_index","D0.l = updated endpoint index, clamped at 2",normal stack; tests only the immediate left/right cells and writes direction codes 3/1,0x51F68;0x51F80,Verified
