address,name,purpose,arguments,return,exceptional_convention,confidence
0x2918,format_number,"Format a value as signed/unsigned decimal, upper/lower hexadecimal, octal, or binary according to a format byte and mode",value; destination buffer; format byte; format mode word; field width word,void,normal stack ABI,Verified
0x2A5E,format_hex,Format an unsigned value as uppercase hexadecimal into a fixed-width NUL-terminated field,"value; destination buffer; field width word; nonzero=space pad, zero=zero pad",void,normal stack ABI,Verified
0x2ABE,format_decimal,Format an unsigned value as decimal into a fixed-width NUL-terminated field,"value; destination buffer; field width word; nonzero=space pad, zero=zero pad",void,normal stack ABI,Verified
0x2CE4,calc_alpha_address,Convert two alpha coordinates to the orientation-correct absolute VRAM word address,coordinate byte 0; coordinate byte 1,D0.l=absolute alpha VRAM address,normal stack ABI,Verified
0x2EB4,display_decimal_value,Format and draw a decimal value through a temporary chained-text descriptor,"coordinate0; coordinate1; value; field width; nonzero=space pad, zero=zero pad; color/style",void,normal six-slot stack ABI,Verified
0x2EEA,display_hex_value,Format and draw an uppercase hexadecimal value through a temporary chained-text descriptor,"coordinate0; coordinate1; value; field width; nonzero=space pad, zero=zero pad; color/style",void,normal six-slot stack ABI,Verified
0x30F4,stop_text_effect,Deactivate a matching effect slot if present and clear the supplied descriptor chain,descriptor pointer,void,normal stack ABI,Verified
0x32A0,display_large_char_raw,Render one mapped large glyph with the rotated-display stride/attribute mode,alpha destination pointer; glyph index word; color/style word,D0.w=alpha-cell advance (1 or 2),tail-enters register renderer,Verified
0x32BC,display_large_char_at,Render one mapped large glyph with the standard-display stride/attribute mode,alpha destination pointer; glyph index word; color/style word,D0.w=alpha-cell advance (1 or 2),tail-enters register renderer,Verified
0x32DA,display_large_decimal_value,Format and draw a decimal value with the mapped large font,"coordinate0; coordinate1; value; field width; nonzero=space pad, zero=zero pad; color/style",D0.l=total alpha-cell advance,normal six-slot stack ABI,Verified
0x3310,display_large_hex_value,Format and draw an uppercase hexadecimal value with the mapped large font,"coordinate0; coordinate1; value; field width; nonzero=space pad, zero=zero pad; color/style",D0.l=total alpha-cell advance,normal six-slot veneer sharing the 0x32F2 display tail,Verified
0x332A,display_large_text_at,Build a temporary descriptor from coordinates and draw a mapped large-font string,coordinate0; coordinate1; string pointer; color/style,D0.l=total alpha-cell advance,normal four-slot stack ABI,Verified
0x3346,clear_large_text,Clear the alpha cells occupied by a mapped large-font descriptor chain,descriptor pointer,D0.l=alpha-cell span cleared for the final descriptor,normal stack ABI,Verified
0x3586,write_alpha_word,Write a raw word to one indexed alpha VRAM cell,cell index long; value word,void,normal stack ABI,Verified
0x359A,wait_vblanks,Busy-wait for the requested number of changes to the OS VBLANK counter,count word,void,normal stack ABI,Verified
0x35B2,set_text_position,Set the two leading descriptor coordinates and clear descriptor repeat byte 6,descriptor pointer; coordinate0; coordinate1,void,normal stack ABI,Verified
